CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
91405; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
91001; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; 1 ; 3 ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 12 
5002; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
5030; -   ; -   ; -   ; 1 ; 2 ; 3 ; 4 ; 3 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 18 
5031; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
5034; -   ; -   ; 1 ; 3 ; 2 ; 6 ; 12 ; 4 ; 2 ; 3 ; 3 ; 2 ; 2 ; -   ; 1 ; -   ; -   ; -   ; 41 
5036; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 6 
5038; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 7 
5040; -   ; -   ; 1 ; -   ; 2 ; 6 ; 2 ; 3 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 
5044; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5045; -   ; -   ; -   ; 1 ; -   ; 4 ; 2 ; 2 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 14 
5051; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5055; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5059; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
5079; -   ; -   ; 1 ; 1 ; 1 ; 7 ; 4 ; 5 ; 4 ; 3 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 31 
5088; -   ; -   ; -   ; 6 ; 6 ; 17 ; 36 ; 24 ; 8 ; 6 ; 2 ; 4 ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; 113 
5086; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5091; -   ; -   ; -   ; 1 ; 4 ; 9 ; 6 ; 5 ; 4 ; 2 ; 3 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 39 
5093; -   ; -   ; -   ; -   ; -   ; 1 ; 4 ; 4 ; 4 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 
