Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),00:00 a 02:59,03:00 a 05:59,06:00 a 08:59,09:00 a 11:59,12:00 a 14:59,15:00 a 17:59,18:00 a 20:59,21:00 a 23:59,Sin información,TOTAL
Amazonas , Leticia,91001,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 
Amazonas , Leticia,91001,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , -   , -   , 2 , 2 , 5 
Amazonas , Leticia,91001,HOMBRE,TOTAL, -   , -   , -   , 1 , 1 , -   , -   , 2 , 2 , 6 
Amazonas , Leticia,91001,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,TOTAL,, -   , -   , -   , 1 , 1 , -   , -   , 2 , 2 , 6 
Amazonas , Tarapacá,91798,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Amazonas , Tarapacá,91798,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Amazonas , Tarapacá,91798,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798,TOTAL,, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Abejorral,5002,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Abejorral,5002,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Abejorral,5002,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Amalfi,5031,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Amalfi,5031,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Amalfi,5031,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Amalfi,5031,MUJER,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Amalfi,5031,TOTAL,, -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 2 
Antioquia , Andes,5034,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 
Antioquia , Andes,5034,Hombre,Mayores de Edad (>18 años), 1 , 1 , 1 , 2 , -   , -   , 1 , -   , 3 , 9 
Antioquia , Andes,5034,HOMBRE,TOTAL, 1 , 1 , 1 , 2 , 1 , -   , 1 , -   , 3 , 10 
