EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN BOGOTÁ D.C AÑO 2020 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
CÓDIGOS DIVIPOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),2,-,2,2,-,2,4,1,-,1,4,-,4,5,15,-,15,29,-,29,44,1,-,1,1,-,1,2,15,-,15,33,-,33,48,8,-,8,17,-,17,25,2,-,2,8,-,8,10,14,-,14,39,-,39,53,-,-,-,-,-,-,-,1,-,1,3,-,3,4,2,-,2,4,-,4,6,2,-,2,12,-,12,14,15,-,15,13,-,13,28,3,-,3,10,-,10,13,5,-,5,19,-,19,24,1,-,1,5,-,5,6,3,-,3,5,-,5,8,3,-,3,10,-,10,13,7,-,7,11,-,11,18,7,-,7,44,-,44,51,376
(05 a 09),-,-,-,4,-,4,4,2,-,2,3,-,3,5,19,-,19,73,-,73,92,-,-,-,2,-,2,2,22,-,22,81,-,81,103,20,-,20,50,-,50,70,3,-,3,15,-,15,18,21,-,21,65,-,65,86,-,-,-,1,-,1,1,3,-,3,13,-,13,16,3,-,3,8,-,8,11,3,-,3,18,-,18,21,13,-,13,40,-,40,53,1,-,1,5,-,5,6,16,-,16,51,-,51,67,-,-,-,6,-,6,6,-,-,-,11,-,11,11,6,-,6,15,-,15,21,15,-,15,45,-,45,60,30,-,30,81,-,81,111,764
(10 a 14),1,-,1,13,-,13,14,2,-,2,11,-,11,13,13,-,13,140,-,140,153,1,-,1,6,-,6,7,21,-,21,152,-,152,173,10,-,10,76,-,76,86,4,-,4,29,-,29,33,16,-,16,124,-,124,140,1,-,1,5,-,5,6,1,-,1,13,-,13,14,4,-,4,22,-,22,26,5,-,5,81,-,81,86,7,-,7,104,-,104,111,2,-,2,20,-,20,22,18,-,18,109,-,109,127,2,-,2,4,-,4,6,4,-,4,32,-,32,36,4,-,4,43,-,43,47,14,-,14,71,-,71,85,22,-,22,116,-,116,138,1323
(15 a 17),1,-,1,3,-,3,4,-,-,-,6,-,6,6,6,-,6,45,-,45,51,-,-,-,3,-,3,3,8,-,8,49,-,49,57,6,-,6,48,-,48,54,1,-,1,19,-,19,20,7,-,7,55,-,55,62,1,-,1,-,-,-,1,2,-,2,9,-,9,11,1,-,1,12,-,12,13,4,-,4,17,-,17,21,1,-,1,33,-,33,34,-,-,-,7,-,7,7,10,-,10,41,-,41,51,1,-,1,1,-,1,2,-,-,-,7,-,7,7,5,-,5,16,-,16,21,3,-,3,34,-,34,37,2,-,2,62,-,62,64,526
(18 a 19),-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,3,3,-,13,13,16,-,-,-,-,1,1,1,-,-,-,-,10,10,10,-,1,1,-,11,11,12,-,-,-,-,3,3,3,-,3,3,-,15,15,18,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,3,3,3,-,1,1,-,6,6,7,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,-,-,-,14,14,14,-,-,-,-,2,2,2,-,-,-,-,1,1,1,-,1,1,-,4,4,5,-,-,-,-,4,4,4,-,2,2,-,10,10,12,127
(20 a 24),-,-,-,-,2,2,2,-,-,-,-,3,3,3,-,-,-,-,9,9,9,-,1,1,-,2,2,3,-,-,-,-,13,13,13,-,1,1,-,14,14,15,-,1,1,-,6,6,7,-,2,2,-,12,12,14,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,1,1,-,5,5,6,-,2,2,-,10,10,12,-,2,2,-,5,5,7,-,-,-,-,1,1,1,-,3,3,-,19,19,22,-,-,-,-,7,7,7,-,-,-,-,5,5,5,-,-,-,-,10,10,10,-,1,1,-,4,4,5,-,6,6,-,18,18,24,169
