COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTRAFAMILIAR (VIF) EN BOGOTÁ D.C AÑO 2021 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Sumapaz,Sumapaz.1,Sumapaz.2,Sumapaz.3,Sumapaz.4,Sumapaz.5,Sumapaz.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
CÓDIGOS DIVIPOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
CONTEXTO DE VIOLENCIA - VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)",6,-,6,6,-,6,12,7,-,7,4,-,4,11,93,-,93,120,-,120,213,12,-,12,6,-,6,18,120,-,120,111,-,111,231,56,-,56,69,-,69,125,21,-,21,21,-,21,42,99,-,99,125,-,125,224,1,-,1,-,-,-,1,15,-,15,18,-,18,33,17,-,17,10,-,10,27,45,-,45,40,-,40,85,89,-,89,72,-,72,161,11,-,11,20,-,20,31,70,-,70,82,-,82,152,1,-,1,-,-,-,1,5,-,5,8,-,8,13,19,-,19,18,-,18,37,36,-,36,26,-,26,62,54,-,54,76,-,76,130,47,-,47,53,-,53,100,1709
(00 a 04),-,-,-,2,-,2,2,1,-,1,-,-,-,1,18,-,18,13,-,13,31,7,-,7,1,-,1,8,24,-,24,11,-,11,35,10,-,10,6,-,6,16,2,-,2,1,-,1,3,17,-,17,15,-,15,32,-,-,-,-,-,-,-,5,-,5,1,-,1,6,2,-,2,-,-,-,2,11,-,11,5,-,5,16,10,-,10,2,-,2,12,3,-,3,2,-,2,5,13,-,13,12,-,12,25,-,-,-,-,-,-,-,3,-,3,2,-,2,5,4,-,4,2,-,2,6,5,-,5,4,-,4,9,7,-,7,11,-,11,18,9,-,9,9,-,9,18,250
(05 a 09),1,-,1,-,-,-,1,3,-,3,-,-,-,3,28,-,28,27,-,27,55,2,-,2,3,-,3,5,31,-,31,21,-,21,52,13,-,13,10,-,10,23,5,-,5,4,-,4,9,21,-,21,30,-,30,51,-,-,-,-,-,-,-,3,-,3,3,-,3,6,5,-,5,1,-,1,6,10,-,10,8,-,8,18,24,-,24,10,-,10,34,4,-,4,1,-,1,5,16,-,16,27,-,27,43,1,-,1,-,-,-,1,-,-,-,-,-,-,-,3,-,3,4,-,4,7,15,-,15,6,-,6,21,16,-,16,13,-,13,29,15,-,15,18,-,18,33,402
(10 a 14),4,-,4,-,-,-,4,2,-,2,-,-,-,2,28,-,28,50,-,50,78,2,-,2,-,-,-,2,41,-,41,49,-,49,90,19,-,19,27,-,27,46,6,-,6,7,-,7,13,39,-,39,44,-,44,83,1,-,1,-,-,-,1,4,-,4,8,-,8,12,6,-,6,5,-,5,11,8,-,8,18,-,18,26,29,-,29,27,-,27,56,2,-,2,7,-,7,9,24,-,24,22,-,22,46,-,-,-,-,-,-,-,2,-,2,5,-,5,7,5,-,5,7,-,7,12,10,-,10,9,-,9,19,17,-,17,24,-,24,41,17,-,17,19,-,19,36,594
(15 a 17),1,-,1,4,-,4,5,1,-,1,4,-,4,5,19,-,19,30,-,30,49,1,-,1,2,-,2,3,24,-,24,30,-,30,54,14,-,14,26,-,26,40,8,-,8,9,-,9,17,22,-,22,36,-,36,58,-,-,-,-,-,-,-,3,-,3,6,-,6,9,4,-,4,4,-,4,8,16,-,16,9,-,9,25,26,-,26,33,-,33,59,2,-,2,10,-,10,12,17,-,17,21,-,21,38,-,-,-,-,-,-,-,-,-,-,1,-,1,1,7,-,7,5,-,5,12,6,-,6,7,-,7,13,14,-,14,28,-,28,42,6,-,6,7,-,7,13,463
VIOLENCIA ENTRE OTROS FAMILIARES (VIF),-,13,13,-,24,24,37,-,16,16,-,22,22,38,-,95,95,-,192,192,287,-,15,15,-,18,18,33,-,130,130,-,252,252,382,-,110,110,-,149,149,259,-,28,28,-,59,59,87,-,138,138,-,231,231,369,-,8,8,-,9,9,17,-,13,13,-,36,36,49,-,32,32,-,48,48,80,-,54,54,-,101,101,155,-,115,115,-,163,163,278,-,34,34,-,42,42,76,-,93,93,-,166,166,259,-,-,-,-,1,1,1,-,13,13,-,18,18,31,-,38,38,-,35,35,73,-,55,55,-,69,69,124,-,79,79,-,124,124,203,-,40,40,-,44,44,84,2922
