HOMICIDIOS EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Amazonas.9,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Antioquia.9,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,Arauca.9,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8","Archipiélago de San Andrés, Providencia y Santa Catalina.9",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,Atlántico.9,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8","Bogotá, D.C..9",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Bolívar.9,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Boyacá.9,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caldas.9,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Caquetá.9,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Casanare.9,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cauca.9,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Cesar.9,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Chocó.9,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Córdoba.9,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Cundinamarca.9,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guainía.9,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Guaviare.9,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,Huila.9,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,La Guajira.9,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Magdalena.9,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Meta.9,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Nariño.9,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Norte de Santander.9,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Putumayo.9,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Quindío.9,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Risaralda.9,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Santander.9,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Sucre.9,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Tolima.9,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Valle del Cauca.9,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vaupés.9,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Vichada.9,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,91,91,91,5,5,5,5,5,5,5,5,5,5,81,81,81,81,81,81,81,81,81,81,88,88,88,88,88,88,88,88,88,88,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,85,85,85,85,85,85,85,85,85,85,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,27,27,27,27,27,27,27,27,27,27,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,41,41,41,41,41,41,41,41,41,41,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,86,86,86,86,86,86,86,86,86,86,63,63,63,63,63,63,63,63,63,63,66,66,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,73,73,73,73,73,73,73,73,73,73,76,76,76,76,76,76,76,76,76,76,97,97,97,97,97,97,97,97,97,97,99,99,99,99,99,99,99,99,99,99,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,TOTAL
VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,3,-,3,-,-,-,5,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,-,-,-,4,3,-,3,3,-,3,-,-,-,6,1,-,1,2,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,1,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2,2,-,2,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,1,-,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,3,-,3,-,-,-,3,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44
(05 a 09),-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,3,-,-,-,1,-,1,-,-,-,1,-,-,-,1,-,1,-,-,-,1,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
(10 a 14),-,-,-,-,-,-,-,-,-,-,11,-,11,3,-,3,-,-,-,14,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,3,1,-,1,-,-,-,-,-,-,1,2,-,2,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,1,-,-,-,3,8,-,8,1,-,1,-,-,-,9,3,-,3,1,-,1,-,-,-,4,-,-,-,1,-,1,-,-,-,1,1,-,1,1,-,1,-,-,-,2,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,3,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,3,2,-,2,1,-,1,-,-,-,3,1,-,1,1,-,1,-,-,-,2,1,-,1,2,-,2,-,-,-,3,1,-,1,-,-,-,-,-,-,1,1,-,1,1,-,1,-,-,-,2,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,3,9,-,9,3,-,3,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77
(15 a 17),-,-,-,-,-,-,-,-,-,-,82,-,82,13,-,13,-,-,-,95,2,-,2,-,-,-,-,-,-,2,1,-,1,1,-,1,-,-,-,2,13,-,13,3,-,3,-,-,-,16,32,-,32,5,-,5,-,-,-,37,15,-,15,1,-,1,-,-,-,16,1,-,1,-,-,-,-,-,-,1,7,-,7,-,-,-,-,-,-,7,1,-,1,-,-,-,1,-,1,2,2,-,2,-,-,-,-,-,-,2,24,-,24,4,-,4,-,-,-,28,3,-,3,2,-,2,-,-,-,5,11,-,11,2,-,2,-,-,-,13,4,-,4,-,-,-,-,-,-,4,20,-,20,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,12,2,-,2,-,-,-,14,4,-,4,-,-,-,-,-,-,4,5,-,5,1,-,1,-,-,-,6,8,-,8,-,-,-,-,-,-,8,13,-,13,2,-,2,-,-,-,15,7,-,7,1,-,1,-,-,-,8,8,-,8,-,-,-,-,-,-,8,4,-,4,1,-,1,-,-,-,5,3,-,3,-,-,-,-,-,-,3,10,-,10,-,-,-,-,-,-,10,4,-,4,-,-,-,-,-,-,4,8,-,8,1,-,1,-,-,-,9,89,-,89,4,-,4,-,-,-,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437
(18 a 19),-,1,1,-,-,-,-,-,-,1,-,125,125,-,8,8,-,-,-,133,-,6,6,-,1,1,-,-,-,7,-,4,4,-,-,-,-,-,-,4,-,33,33,-,2,2,-,-,-,35,-,43,43,-,5,5,-,-,-,48,-,24,24,-,1,1,-,-,-,25,-,7,7,-,-,-,-,-,-,7,-,7,7,-,-,-,-,-,-,7,-,7,7,-,-,-,-,-,-,7,-,2,2,-,-,-,-,-,-,2,-,40,40,-,3,3,-,-,-,43,-,16,16,-,-,-,-,-,-,16,-,18,18,-,1,1,-,-,-,19,-,5,5,-,-,-,-,-,-,5,-,22,22,-,3,3,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,13,13,-,1,1,-,-,-,14,-,10,10,-,2,2,-,-,-,12,-,16,16,-,-,-,-,-,-,16,-,12,12,-,1,1,-,-,-,13,-,21,21,-,3,3,-,-,-,24,-,25,25,-,2,2,-,-,-,27,-,2,2,-,1,1,-,-,-,3,-,9,9,-,1,1,-,-,-,10,-,12,12,-,-,-,-,-,-,12,-,10,10,-,1,1,-,-,-,11,-,3,3,-,1,1,-,-,-,4,-,6,6,-,-,-,-,-,-,6,-,116,116,-,10,10,-,-,-,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
(20 a 24),-,1,1,-,-,-,-,-,-,1,-,360,360,-,22,22,-,-,-,382,-,25,25,-,3,3,-,-,-,28,-,6,6,-,-,-,-,-,-,6,-,98,98,-,6,6,-,-,-,104,-,196,196,-,22,22,-,-,-,218,-,71,71,-,2,2,-,-,-,73,-,10,10,-,-,-,-,-,-,10,-,25,25,-,1,1,-,-,-,26,-,21,21,-,1,1,-,-,-,22,-,25,25,-,1,1,-,-,-,26,-,125,125,-,6,6,-,-,-,131,-,29,29,-,2,2,-,-,-,31,-,36,36,-,2,2,-,-,-,38,-,46,46,-,3,3,-,-,-,49,-,54,54,-,2,2,-,-,-,56,-,-,-,-,1,1,-,-,-,1,-,4,4,-,-,-,-,-,-,4,-,41,41,-,2,2,-,-,-,43,-,32,32,-,1,1,-,-,-,33,-,49,49,-,4,4,-,-,-,53,-,58,58,-,7,7,-,-,-,65,-,78,78,-,4,4,-,-,-,82,-,124,124,-,7,7,-,-,-,131,-,19,19,-,1,1,-,-,-,20,-,44,44,-,2,2,-,-,-,46,-,31,31,-,3,3,-,-,-,34,-,68,68,-,6,6,-,-,-,74,-,19,19,-,1,1,-,-,-,20,-,33,33,-,4,4,-,-,-,37,-,416,416,-,34,34,-,-,-,450,-,-,-,-,-,-,-,-,-,-,-,3,3,-,1,1,-,-,-,4,2298
