EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,Sin información.7,Sin información.8,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,91,91,5,5,5,5,5,5,5,5,5,81,81,81,81,81,81,81,81,81,88,88,88,88,88,88,88,88,88,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,85,85,85,85,85,85,85,85,85,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,27,27,27,27,27,27,27,27,27,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,41,41,41,41,41,41,41,41,41,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,86,86,86,86,86,86,86,86,86,63,63,63,63,63,63,63,63,63,66,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,70,70,70,70,70,70,70,70,70,73,73,73,73,73,73,73,73,73,76,76,76,76,76,76,76,76,76,97,97,97,97,97,97,97,97,97,99,99,99,99,99,99,99,99,99,999,999,999,999,999,999,999,999,999,
SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,TOTAL
VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),3,-,-,3,5,-,-,5,8,71,-,-,71,202,-,-,202,273,6,-,-,6,21,-,-,21,27,1,-,-,1,2,-,-,2,3,21,-,-,21,87,-,-,87,108,84,-,-,84,241,-,-,241,325,11,-,-,11,30,-,-,30,41,9,-,-,9,30,-,-,30,39,9,-,-,9,34,-,-,34,43,4,-,-,4,16,-,-,16,20,9,-,-,9,35,-,-,35,44,5,-,-,5,22,-,-,22,27,12,-,-,12,24,-,-,24,36,-,-,-,-,16,-,-,16,16,3,-,-,3,25,-,-,25,28,32,-,-,32,84,-,-,84,116,-,-,-,-,2,-,-,2,2,3,-,-,3,7,-,-,7,10,13,-,-,13,32,-,-,32,45,5,-,-,5,14,-,-,14,19,6,-,-,6,18,-,-,18,24,8,-,-,8,49,-,-,49,57,1,-,-,1,4,-,-,4,5,10,-,-,10,30,-,-,30,40,2,-,-,2,12,-,-,12,14,16,-,-,16,33,-,-,33,49,16,-,-,16,52,-,-,52,68,16,-,-,16,75,-,-,75,91,4,-,-,4,15,-,-,15,19,25,-,-,25,47,-,-,47,72,26,-,-,26,141,-,-,141,167,1,-,-,1,2,-,-,2,3,1,-,-,1,2,-,-,2,3,1,-,-,1,1,-,-,1,2,1844
(05 a 09),3,-,-,3,14,-,-,14,17,129,-,-,129,332,-,-,332,461,5,-,-,5,49,-,-,49,54,1,-,-,1,2,-,-,2,3,32,-,-,32,170,-,-,170,202,153,-,-,153,479,-,-,479,632,39,-,-,39,119,-,-,119,158,21,-,-,21,89,-,-,89,110,25,-,-,25,100,-,-,100,125,11,-,-,11,47,-,-,47,58,12,-,-,12,67,-,-,67,79,9,-,-,9,46,-,-,46,55,13,-,-,13,68,-,-,68,81,4,-,-,4,17,-,-,17,21,21,-,-,21,81,-,-,81,102,69,-,-,69,223,-,-,223,292,-,-,-,-,6,-,-,6,6,2,-,-,2,16,-,-,16,18,27,-,-,27,116,-,-,116,143,11,-,-,11,61,-,-,61,72,19,-,-,19,54,-,-,54,73,34,-,-,34,119,-,-,119,153,1,-,-,1,16,-,-,16,17,31,-,-,31,90,-,-,90,121,10,-,-,10,29,-,-,29,39,20,-,-,20,85,-,-,85,105,37,-,-,37,107,-,-,107,144,41,-,-,41,170,-,-,170,211,13,-,-,13,47,-,-,47,60,47,-,-,47,175,-,-,175,222,64,-,-,64,249,-,-,249,313,4,-,-,4,9,-,-,9,13,-,-,-,-,2,-,-,2,2,1,-,-,1,11,-,-,11,12,4174
(10 a 14),4,-,-,4,26,-,-,26,30,100,-,-,100,787,-,-,787,887,10,-,-,10,109,-,-,109,119,-,-,-,-,13,-,-,13,13,37,-,-,37,339,-,-,339,376,158,-,-,158,1507,-,-,1507,1665,20,-,-,20,318,-,-,318,338,13,-,-,13,207,-,-,207,220,21,-,-,21,154,-,-,154,175,12,-,-,12,162,-,-,162,174,16,-,-,16,158,-,-,158,174,9,-,-,9,124,-,-,124,133,17,-,-,17,207,-,-,207,224,2,-,-,2,44,-,-,44,46,19,-,-,19,292,-,-,292,311,71,-,-,71,602,-,-,602,673,-,-,-,-,24,-,-,24,24,3,-,-,3,31,-,-,31,34,28,-,-,28,244,-,-,244,272,14,-,-,14,163,-,-,163,177,16,-,-,16,200,-,-,200,216,32,-,-,32,304,-,-,304,336,1,-,-,1,27,-,-,27,28,31,-,-,31,213,-,-,213,244,3,-,-,3,80,-,-,80,83,22,-,-,22,159,-,-,159,181,31,-,-,31,269,-,-,269,300,36,-,-,36,421,-,-,421,457,11,-,-,11,146,-,-,146,157,42,-,-,42,470,-,-,470,512,66,-,-,66,569,-,-,569,635,-,-,-,-,23,-,-,23,23,-,-,-,-,10,-,-,10,10,-,-,-,-,42,-,-,42,42,9289
(15 a 17),2,-,-,2,13,-,-,13,15,22,-,-,22,221,-,-,221,243,2,-,-,2,30,-,-,30,32,-,-,-,-,2,-,-,2,2,11,-,-,11,118,-,-,118,129,79,-,-,79,634,-,-,634,713,10,-,-,10,105,-,-,105,115,6,-,-,6,97,-,-,97,103,15,-,-,15,52,-,-,52,67,3,-,-,3,44,-,-,44,47,4,-,-,4,40,-,-,40,44,1,-,-,1,65,-,-,65,66,3,-,-,3,52,-,-,52,55,1,-,-,1,15,-,-,15,16,4,-,-,4,89,-,-,89,93,31,-,-,31,214,-,-,214,245,-,-,-,-,8,-,-,8,8,1,-,-,1,10,-,-,10,11,10,-,-,10,80,-,-,80,90,5,-,-,5,43,-,-,43,48,3,-,-,3,67,-,-,67,70,14,-,-,14,60,-,-,60,74,-,-,-,-,13,-,-,13,13,6,-,-,6,83,-,-,83,89,4,-,-,4,27,-,-,27,31,9,-,-,9,43,-,-,43,52,11,-,-,11,102,-,-,102,113,20,-,-,20,127,-,-,127,147,4,-,-,4,54,-,-,54,58,14,-,-,14,137,-,-,137,151,24,-,-,24,188,-,-,188,212,-,-,-,-,7,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,12,12,3171
(18 a 19),-,-,-,-,-,2,-,2,2,-,6,-,6,-,58,-,58,64,-,1,-,1,-,5,-,5,6,-,-,-,-,-,-,-,-,-,-,5,-,5,-,27,-,27,32,-,9,-,9,-,138,-,138,147,-,2,-,2,-,18,-,18,20,-,1,-,1,-,32,-,32,33,-,4,-,4,-,15,-,15,19,-,1,-,1,-,12,-,12,13,-,2,-,2,-,13,-,13,15,-,-,-,-,-,13,-,13,13,-,-,-,-,-,15,-,15,15,-,1,-,1,-,2,-,2,3,-,5,-,5,-,14,-,14,19,-,3,-,3,-,57,-,57,60,-,-,-,-,-,3,-,3,3,-,-,-,-,-,1,-,1,1,-,3,-,3,-,19,-,19,22,-,1,-,1,-,11,-,11,12,-,4,-,4,-,16,-,16,20,-,1,-,1,-,25,-,25,26,-,2,-,2,-,7,-,7,9,-,1,-,1,-,11,-,11,12,-,-,-,-,-,5,-,5,5,-,1,-,1,-,11,-,11,12,-,5,-,5,-,25,-,25,30,-,-,-,-,-,21,-,21,21,-,-,-,-,-,8,-,8,8,-,4,-,4,-,37,-,37,41,-,4,-,4,-,48,-,48,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,737
(20 a 24),-,1,-,1,-,-,-,-,1,-,7,-,7,-,111,-,111,118,-,-,-,-,-,10,-,10,10,-,1,-,1,-,3,-,3,4,-,4,-,4,-,52,-,52,56,-,22,-,22,-,267,-,267,289,-,1,-,1,-,30,-,30,31,-,1,-,1,-,45,-,45,46,-,2,-,2,-,21,-,21,23,-,-,-,-,-,23,-,23,23,-,2,-,2,-,17,-,17,19,-,5,-,5,-,34,-,34,39,-,2,-,2,-,22,-,22,24,-,-,-,-,-,10,-,10,10,-,5,-,5,-,27,-,27,32,-,5,-,5,-,75,-,75,80,-,-,-,-,-,3,-,3,3,-,-,-,-,-,5,-,5,5,-,1,-,1,-,23,-,23,24,-,-,-,-,-,18,-,18,18,-,-,-,-,-,27,-,27,27,-,1,-,1,-,29,-,29,30,-,1,-,1,-,13,-,13,14,-,1,-,1,-,30,-,30,31,-,-,-,-,-,11,-,11,11,-,2,-,2,-,19,-,19,21,-,3,-,3,-,27,-,27,30,-,5,-,5,-,41,-,41,46,-,2,-,2,-,11,-,11,13,-,7,-,7,-,79,-,79,86,-,7,-,7,-,71,-,71,78,-,-,-,-,-,4,-,4,4,-,-,-,-,-,1,-,1,1,-,-,-,-,-,4,-,4,4,1251
