VIOLENCIA INTRAFAMILIAR (VIF) EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,5,5,5,5,5,5,5,81,81,81,81,81,81,81,88,88,88,88,88,88,88,8,8,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,18,18,18,18,18,18,18,85,85,85,85,85,85,85,19,19,19,19,19,19,19,20,20,20,20,20,20,20,27,27,27,27,27,27,27,23,23,23,23,23,23,23,25,25,25,25,25,25,25,94,94,94,94,94,94,94,95,95,95,95,95,95,95,41,41,41,41,41,41,41,44,44,44,44,44,44,44,47,47,47,47,47,47,47,50,50,50,50,50,50,50,52,52,52,52,52,52,52,54,54,54,54,54,54,54,86,86,86,86,86,86,86,63,63,63,63,63,63,63,66,66,66,66,66,66,66,68,68,68,68,68,68,68,70,70,70,70,70,70,70,73,73,73,73,73,73,73,76,76,76,76,76,76,76,97,97,97,97,97,97,97,99,99,99,99,99,99,99,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
CONTEXTO DE VIOLENCIA - VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)",16,-,16,21,-,21,37,319,-,319,373,-,373,692,52,-,52,55,-,55,107,6,-,6,10,-,10,16,67,-,67,78,-,78,145,753,-,753,765,-,765,1518,31,-,31,41,-,41,72,82,-,82,87,-,87,169,14,-,14,43,-,43,57,4,-,4,14,-,14,18,84,-,84,81,-,81,165,37,-,37,37,-,37,74,26,-,26,39,-,39,65,2,-,2,7,-,7,9,5,-,5,17,-,17,22,225,-,225,229,-,229,454,1,-,1,6,-,6,7,3,-,3,1,-,1,4,39,-,39,55,-,55,94,16,-,16,15,-,15,31,45,-,45,33,-,33,78,118,-,118,137,-,137,255,27,-,27,26,-,26,53,50,-,50,56,-,56,106,12,-,12,24,-,24,36,16,-,16,35,-,35,51,32,-,32,45,-,45,77,111,-,111,124,-,124,235,9,-,9,10,-,10,19,99,-,99,114,-,114,213,89,-,89,96,-,96,185,1,-,1,3,-,3,4,1,-,1,-,-,-,1,5069
(00 a 04),5,-,5,5,-,5,10,60,-,60,60,-,60,120,15,-,15,5,-,5,20,1,-,1,1,-,1,2,10,-,10,8,-,8,18,133,-,133,92,-,92,225,4,-,4,7,-,7,11,12,-,12,9,-,9,21,2,-,2,3,-,3,5,2,-,2,4,-,4,6,16,-,16,14,-,14,30,11,-,11,1,-,1,12,2,-,2,6,-,6,8,-,-,-,1,-,1,1,3,-,3,4,-,4,7,45,-,45,28,-,28,73,-,-,-,1,-,1,1,-,-,-,-,-,-,-,5,-,5,4,-,4,9,3,-,3,-,-,-,3,5,-,5,8,-,8,13,26,-,26,27,-,27,53,1,-,1,5,-,5,6,8,-,8,6,-,6,14,2,-,2,2,-,2,4,1,-,1,3,-,3,4,8,-,8,8,-,8,16,23,-,23,15,-,15,38,2,-,2,3,-,3,5,12,-,12,14,-,14,26,18,-,18,18,-,18,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,797
(05 a 09),5,-,5,4,-,4,9,75,-,75,64,-,64,139,17,-,17,13,-,13,30,3,-,3,-,-,-,3,18,-,18,9,-,9,27,193,-,193,164,-,164,357,5,-,5,6,-,6,11,24,-,24,15,-,15,39,2,-,2,8,-,8,10,-,-,-,5,-,5,5,17,-,17,19,-,19,36,7,-,7,7,-,7,14,6,-,6,8,-,8,14,-,-,-,2,-,2,2,1,-,1,4,-,4,5,58,-,58,39,-,39,97,1,-,1,2,-,2,3,-,-,-,-,-,-,-,6,-,6,11,-,11,17,3,-,3,5,-,5,8,3,-,3,4,-,4,7,32,-,32,31,-,31,63,4,-,4,6,-,6,10,12,-,12,12,-,12,24,4,-,4,4,-,4,8,7,-,7,9,-,9,16,5,-,5,8,-,8,13,21,-,21,20,-,20,41,1,-,1,1,-,1,2,25,-,25,19,-,19,44,22,-,22,20,-,20,42,1,-,1,2,-,2,3,-,-,-,-,-,-,-,1099
(10 a 14),3,-,3,7,-,7,10,117,-,117,136,-,136,253,17,-,17,26,-,26,43,1,-,1,8,-,8,9,25,-,25,29,-,29,54,246,-,246,286,-,286,532,17,-,17,17,-,17,34,24,-,24,33,-,33,57,8,-,8,19,-,19,27,1,-,1,2,-,2,3,36,-,36,29,-,29,65,15,-,15,14,-,14,29,9,-,9,13,-,13,22,1,-,1,1,-,1,2,1,-,1,6,-,6,7,80,-,80,100,-,100,180,-,-,-,1,-,1,1,3,-,3,-,-,-,3,16,-,16,25,-,25,41,9,-,9,5,-,5,14,19,-,19,10,-,10,29,39,-,39,43,-,43,82,10,-,10,11,-,11,21,21,-,21,23,-,23,44,4,-,4,12,-,12,16,5,-,5,10,-,10,15,12,-,12,19,-,19,31,40,-,40,45,-,45,85,4,-,4,4,-,4,8,52,-,52,32,-,32,84,35,-,35,33,-,33,68,-,-,-,1,-,1,1,1,-,1,-,-,-,1,1871
(15 a 17),3,-,3,5,-,5,8,67,-,67,113,-,113,180,3,-,3,11,-,11,14,1,-,1,1,-,1,2,14,-,14,32,-,32,46,181,-,181,223,-,223,404,5,-,5,11,-,11,16,22,-,22,30,-,30,52,2,-,2,13,-,13,15,1,-,1,3,-,3,4,15,-,15,19,-,19,34,4,-,4,15,-,15,19,9,-,9,12,-,12,21,1,-,1,3,-,3,4,-,-,-,3,-,3,3,42,-,42,62,-,62,104,-,-,-,2,-,2,2,-,-,-,1,-,1,1,12,-,12,15,-,15,27,1,-,1,5,-,5,6,18,-,18,11,-,11,29,21,-,21,36,-,36,57,12,-,12,4,-,4,16,9,-,9,15,-,15,24,2,-,2,6,-,6,8,3,-,3,13,-,13,16,7,-,7,10,-,10,17,27,-,27,44,-,44,71,2,-,2,2,-,2,4,10,-,10,49,-,49,59,14,-,14,25,-,25,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1302
VIOLENCIA ENTRE OTROS FAMILIARES (VIF),-,10,10,-,19,19,29,-,488,488,-,941,941,1429,-,35,35,-,85,85,120,-,14,14,-,30,30,44,-,159,159,-,303,303,462,-,1062,1062,-,1734,1734,2796,-,68,68,-,119,119,187,-,163,163,-,232,232,395,-,32,32,-,51,51,83,-,9,9,-,33,33,42,-,54,54,-,109,109,163,-,53,53,-,141,141,194,-,45,45,-,96,96,141,-,5,5,-,17,17,22,-,14,14,-,43,43,57,-,324,324,-,527,527,851,-,5,5,-,5,5,10,-,1,1,-,4,4,5,-,88,88,-,148,148,236,-,30,30,-,47,47,77,-,77,77,-,122,122,199,-,92,92,-,178,178,270,-,62,62,-,115,115,177,-,77,77,-,158,158,235,-,17,17,-,38,38,55,-,47,47,-,94,94,141,-,40,40,-,88,88,128,-,196,196,-,350,350,546,-,12,12,-,37,37,49,-,144,144,-,238,238,382,-,156,156,-,366,366,522,-,8,8,-,5,5,13,-,-,-,-,-,-,-,10060
