COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTRAFAMILIAR (VIF) EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,5,5,5,5,5,5,5,81,81,81,81,81,81,81,88,88,88,88,88,88,88,8,8,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,18,18,18,18,18,18,18,85,85,85,85,85,85,85,19,19,19,19,19,19,19,20,20,20,20,20,20,20,27,27,27,27,27,27,27,23,23,23,23,23,23,23,25,25,25,25,25,25,25,94,94,94,94,94,94,94,95,95,95,95,95,95,95,41,41,41,41,41,41,41,44,44,44,44,44,44,44,47,47,47,47,47,47,47,50,50,50,50,50,50,50,52,52,52,52,52,52,52,54,54,54,54,54,54,54,86,86,86,86,86,86,86,63,63,63,63,63,63,63,66,66,66,66,66,66,66,68,68,68,68,68,68,68,70,70,70,70,70,70,70,73,73,73,73,73,73,73,76,76,76,76,76,76,76,97,97,97,97,97,97,97,99,99,99,99,99,99,99,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
CONTEXTO DE VIOLENCIA - VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)",15,-,15,15,-,15,30,289,-,289,329,-,329,618,39,-,39,42,-,42,81,4,-,4,9,-,9,13,76,-,76,65,-,65,141,824,-,824,885,-,885,1709,31,-,31,38,-,38,69,80,-,80,79,-,79,159,20,-,20,12,-,12,32,11,-,11,14,-,14,25,56,-,56,61,-,61,117,11,-,11,25,-,25,36,23,-,23,31,-,31,54,3,-,3,4,-,4,7,20,-,20,23,-,23,43,262,-,262,282,-,282,544,3,-,3,3,-,3,6,2,-,2,4,-,4,6,27,-,27,47,-,47,74,25,-,25,22,-,22,47,43,-,43,47,-,47,90,121,-,121,126,-,126,247,20,-,20,30,-,30,50,37,-,37,54,-,54,91,15,-,15,14,-,14,29,18,-,18,52,-,52,70,37,-,37,46,-,46,83,114,-,114,119,-,119,233,17,-,17,26,-,26,43,84,-,84,96,-,96,180,105,-,105,96,-,96,201,4,-,4,7,-,7,11,1,-,1,5,-,5,6,5145
(00 a 04),2,-,2,1,-,1,3,49,-,49,44,-,44,93,6,-,6,6,-,6,12,-,-,-,2,-,2,2,12,-,12,8,-,8,20,151,-,151,99,-,99,250,3,-,3,8,-,8,11,13,-,13,7,-,7,20,4,-,4,2,-,2,6,3,-,3,-,-,-,3,7,-,7,13,-,13,20,1,-,1,1,-,1,2,5,-,5,6,-,6,11,1,-,1,1,-,1,2,2,-,2,3,-,3,5,42,-,42,41,-,41,83,2,-,2,-,-,-,2,1,-,1,1,-,1,2,1,-,1,1,-,1,2,3,-,3,4,-,4,7,5,-,5,8,-,8,13,20,-,20,19,-,19,39,2,-,2,4,-,4,6,6,-,6,11,-,11,17,1,-,1,2,-,2,3,3,-,3,6,-,6,9,4,-,4,12,-,12,16,23,-,23,16,-,16,39,1,-,1,2,-,2,3,20,-,20,18,-,18,38,27,-,27,12,-,12,39,1,-,1,-,-,-,1,1,-,1,1,-,1,2,781
(05 a 09),7,-,7,3,-,3,10,80,-,80,69,-,69,149,19,-,19,14,-,14,33,1,-,1,1,-,1,2,14,-,14,13,-,13,27,216,-,216,186,-,186,402,8,-,8,6,-,6,14,16,-,16,15,-,15,31,2,-,2,4,-,4,6,3,-,3,4,-,4,7,9,-,9,13,-,13,22,5,-,5,2,-,2,7,6,-,6,4,-,4,10,-,-,-,-,-,-,-,5,-,5,4,-,4,9,61,-,61,60,-,60,121,1,-,1,-,-,-,1,1,-,1,-,-,-,1,6,-,6,9,-,9,15,8,-,8,6,-,6,14,9,-,9,4,-,4,13,33,-,33,21,-,21,54,5,-,5,3,-,3,8,11,-,11,13,-,13,24,5,-,5,1,-,1,6,8,-,8,10,-,10,18,8,-,8,9,-,9,17,32,-,32,24,-,24,56,5,-,5,5,-,5,10,12,-,12,17,-,17,29,22,-,22,20,-,20,42,1,-,1,3,-,3,4,-,-,-,1,-,1,1,1163
(10 a 14),5,-,5,7,-,7,12,106,-,106,120,-,120,226,11,-,11,18,-,18,29,1,-,1,2,-,2,3,27,-,27,21,-,21,48,266,-,266,328,-,328,594,14,-,14,12,-,12,26,35,-,35,31,-,31,66,6,-,6,4,-,4,10,3,-,3,8,-,8,11,29,-,29,21,-,21,50,3,-,3,15,-,15,18,8,-,8,16,-,16,24,-,-,-,3,-,3,3,7,-,7,4,-,4,11,100,-,100,101,-,101,201,-,-,-,1,-,1,1,-,-,-,2,-,2,2,13,-,13,16,-,16,29,10,-,10,8,-,8,18,18,-,18,16,-,16,34,46,-,46,49,-,49,95,8,-,8,10,-,10,18,12,-,12,16,-,16,28,4,-,4,5,-,5,9,4,-,4,19,-,19,23,15,-,15,14,-,14,29,29,-,29,39,-,39,68,7,-,7,9,-,9,16,37,-,37,26,-,26,63,43,-,43,36,-,36,79,1,-,1,2,-,2,3,-,-,-,1,-,1,1,1848
(15 a 17),1,-,1,4,-,4,5,54,-,54,96,-,96,150,3,-,3,4,-,4,7,2,-,2,4,-,4,6,23,-,23,23,-,23,46,191,-,191,272,-,272,463,6,-,6,12,-,12,18,16,-,16,26,-,26,42,8,-,8,2,-,2,10,2,-,2,2,-,2,4,11,-,11,14,-,14,25,2,-,2,7,-,7,9,4,-,4,5,-,5,9,2,-,2,-,-,-,2,6,-,6,12,-,12,18,59,-,59,80,-,80,139,-,-,-,2,-,2,2,-,-,-,1,-,1,1,7,-,7,21,-,21,28,4,-,4,4,-,4,8,11,-,11,19,-,19,30,22,-,22,37,-,37,59,5,-,5,13,-,13,18,8,-,8,14,-,14,22,5,-,5,6,-,6,11,3,-,3,17,-,17,20,10,-,10,11,-,11,21,30,-,30,40,-,40,70,4,-,4,10,-,10,14,15,-,15,35,-,35,50,13,-,13,28,-,28,41,1,-,1,2,-,2,3,-,-,-,2,-,2,2,1353
VIOLENCIA ENTRE OTROS FAMILIARES (VIF),-,19,19,-,23,23,42,-,513,513,-,990,990,1503,-,32,32,-,54,54,86,-,12,12,-,24,24,36,-,201,201,-,339,339,540,-,1119,1119,-,1803,1803,2922,-,70,70,-,147,147,217,-,162,162,-,228,228,390,-,39,39,-,84,84,123,-,11,11,-,30,30,41,-,50,50,-,92,92,142,-,53,53,-,114,114,167,-,53,53,-,104,104,157,-,5,5,-,8,8,13,-,41,41,-,87,87,128,-,356,356,-,569,569,925,-,4,4,-,5,5,9,-,-,-,-,4,4,4,-,115,115,-,168,168,283,-,36,36,-,59,59,95,-,121,121,-,192,192,313,-,86,86,-,179,179,265,-,52,52,-,134,134,186,-,120,120,-,195,195,315,-,13,13,-,46,46,59,-,39,39,-,80,80,119,-,40,40,-,112,112,152,-,216,216,-,347,347,563,-,36,36,-,69,69,105,-,151,151,-,258,258,409,-,181,181,-,420,420,601,-,27,27,-,18,18,45,-,1,1,-,4,4,5,10960
