VIOLENCIA DE PAREJA EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,5,5,5,5,5,5,5,81,81,81,81,81,81,81,88,88,88,88,88,88,88,8,8,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,18,18,18,18,18,18,18,85,85,85,85,85,85,85,19,19,19,19,19,19,19,20,20,20,20,20,20,20,27,27,27,27,27,27,27,23,23,23,23,23,23,23,25,25,25,25,25,25,25,94,94,94,94,94,94,94,95,95,95,95,95,95,95,41,41,41,41,41,41,41,44,44,44,44,44,44,44,47,47,47,47,47,47,47,50,50,50,50,50,50,50,52,52,52,52,52,52,52,54,54,54,54,54,54,54,86,86,86,86,86,86,86,63,63,63,63,63,63,63,66,66,66,66,66,66,66,68,68,68,68,68,68,68,70,70,70,70,70,70,70,73,73,73,73,73,73,73,76,76,76,76,76,76,76,97,97,97,97,97,97,97,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10 a 14),-,-,-,-,-,-,-,-,-,-,3,-,3,3,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,1,-,1,1,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,1,-,1,2,-,-,-,1,-,1,1,-,-,-,-,-,-,-,1,-,1,4,-,4,5,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,32
(15 a 17),-,-,-,-,-,-,-,1,-,1,80,-,80,81,-,-,-,13,-,13,13,-,-,-,-,-,-,-,-,-,-,18,-,18,18,2,-,2,80,-,80,82,-,-,-,27,-,27,27,1,-,1,21,-,21,22,-,-,-,6,-,6,6,-,-,-,8,-,8,8,2,-,2,21,-,21,23,-,-,-,14,-,14,14,-,-,-,6,-,6,6,-,-,-,6,-,6,6,-,-,-,9,-,9,9,-,-,-,56,-,56,56,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,11,-,11,11,1,-,1,5,-,5,6,1,-,1,23,-,23,24,2,-,2,36,-,36,38,-,-,-,7,-,7,7,-,-,-,10,-,10,10,-,-,-,10,-,10,10,-,-,-,13,-,13,13,-,-,-,10,-,10,10,-,-,-,20,-,20,20,-,-,-,6,-,6,6,1,-,1,27,-,27,28,1,-,1,28,-,28,29,-,-,-,1,-,1,1,586
(18 a 19),-,-,-,-,5,5,5,-,4,4,-,129,129,133,-,-,-,-,18,18,18,-,-,-,-,5,5,5,-,2,2,-,49,49,51,-,16,16,-,241,241,257,-,-,-,-,24,24,24,-,-,-,-,30,30,30,-,1,1,-,9,9,10,-,1,1,-,9,9,10,-,-,-,-,13,13,13,-,1,1,-,16,16,17,-,-,-,-,15,15,15,-,1,1,-,5,5,6,-,-,-,-,14,14,14,-,2,2,-,107,107,109,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,1,1,-,32,32,33,-,-,-,-,11,11,11,-,-,-,-,38,38,38,-,4,4,-,52,52,56,-,-,-,-,30,30,30,-,1,1,-,18,18,19,-,3,3,-,11,11,14,-,1,1,-,21,21,22,-,-,-,-,28,28,28,-,1,1,-,74,74,75,-,-,-,-,11,11,11,-,2,2,-,64,64,66,-,3,3,-,77,77,80,-,-,-,-,-,-,-,1202
(20 a 24),-,-,-,-,14,14,14,-,50,50,-,534,534,584,-,13,13,-,77,77,90,-,1,1,-,13,13,14,-,7,7,-,174,174,181,-,153,153,-,1429,1429,1582,-,1,1,-,99,99,100,-,9,9,-,142,142,151,-,3,3,-,56,56,59,-,-,-,-,53,53,53,-,6,6,-,101,101,107,-,7,7,-,109,109,116,-,1,1,-,73,73,74,-,-,-,-,18,18,18,-,1,1,-,46,46,47,-,49,49,-,481,481,530,-,-,-,-,7,7,7,-,-,-,-,7,7,7,-,12,12,-,169,169,181,-,4,4,-,61,61,65,-,8,8,-,133,133,141,-,15,15,-,204,204,219,-,7,7,-,102,102,109,-,4,4,-,94,94,98,-,-,-,-,32,32,32,-,7,7,-,60,60,67,-,3,3,-,99,99,102,-,23,23,-,242,242,265,-,2,2,-,48,48,50,-,16,16,-,215,215,231,-,18,18,-,372,372,390,-,1,1,-,7,7,8,5692
(25 a 29),-,3,3,-,21,21,24,-,92,92,-,617,617,709,-,13,13,-,62,62,75,-,2,2,-,17,17,19,-,13,13,-,270,270,283,-,297,297,-,1652,1652,1949,-,6,6,-,115,115,121,-,23,23,-,187,187,210,-,2,2,-,47,47,49,-,1,1,-,57,57,58,-,21,21,-,131,131,152,-,8,8,-,123,123,131,-,2,2,-,83,83,85,-,3,3,-,25,25,28,-,3,3,-,59,59,62,-,70,70,-,506,506,576,-,-,-,-,4,4,4,-,-,-,-,8,8,8,-,15,15,-,164,164,179,-,1,1,-,69,69,70,-,9,9,-,140,140,149,-,42,42,-,247,247,289,-,13,13,-,129,129,142,-,7,7,-,150,150,157,-,4,4,-,45,45,49,-,12,12,-,64,64,76,-,13,13,-,97,97,110,-,36,36,-,256,256,292,-,3,3,-,53,53,56,-,27,27,-,246,246,273,-,51,51,-,426,426,477,-,2,2,-,3,3,5,6867
(30 a 34),-,3,3,-,12,12,15,-,106,106,-,511,511,617,-,8,8,-,53,53,61,-,4,4,-,13,13,17,-,11,11,-,188,188,199,-,290,290,-,1230,1230,1520,-,9,9,-,107,107,116,-,25,25,-,142,142,167,-,6,6,-,39,39,45,-,3,3,-,41,41,44,-,16,16,-,89,89,105,-,19,19,-,95,95,114,-,5,5,-,52,52,57,-,3,3,-,29,29,32,-,5,5,-,53,53,58,-,78,78,-,395,395,473,-,-,-,-,9,9,9,-,-,-,-,5,5,5,-,19,19,-,134,134,153,-,4,4,-,36,36,40,-,9,9,-,110,110,119,-,30,30,-,216,216,246,-,18,18,-,116,116,134,-,13,13,-,115,115,128,-,7,7,-,37,37,44,-,11,11,-,71,71,82,-,13,13,-,89,89,102,-,41,41,-,207,207,248,-,2,2,-,46,46,48,-,23,23,-,200,200,223,-,26,26,-,362,362,388,-,-,-,-,2,2,2,5611
