COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA DE PAREJA EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
CÓDIGOS DIVIPOLA,91,91,91,91,91,91,91,5,5,5,5,5,5,5,81,81,81,81,81,81,81,88,88,88,88,88,88,88,8,8,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,17,17,17,17,17,17,17,18,18,18,18,18,18,18,85,85,85,85,85,85,85,19,19,19,19,19,19,19,20,20,20,20,20,20,20,27,27,27,27,27,27,27,23,23,23,23,23,23,23,25,25,25,25,25,25,25,94,94,94,94,94,94,94,95,95,95,95,95,95,95,41,41,41,41,41,41,41,44,44,44,44,44,44,44,47,47,47,47,47,47,47,50,50,50,50,50,50,50,52,52,52,52,52,52,52,54,54,54,54,54,54,54,86,86,86,86,86,86,86,63,63,63,63,63,63,63,66,66,66,66,66,66,66,68,68,68,68,68,68,68,70,70,70,70,70,70,70,73,73,73,73,73,73,73,76,76,76,76,76,76,76,97,97,97,97,97,97,97,99,99,99,99,99,99,99,999,999,999,999,999,999,999,
SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,TOTAL
VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,GENERAL
VARIABLE: GRUPO DE EDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10 a 14),-,-,-,-,-,-,-,-,-,-,12,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,3,-,3,3,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,2,-,2,2,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,2,-,2,2,-,-,-,3,-,3,3,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41
(15 a 17),-,-,-,2,-,2,2,1,-,1,77,-,77,78,-,-,-,9,-,9,9,-,-,-,-,-,-,-,-,-,-,36,-,36,36,3,-,3,94,-,94,97,-,-,-,10,-,10,10,-,-,-,16,-,16,16,-,-,-,11,-,11,11,-,-,-,13,-,13,13,-,-,-,12,-,12,12,-,-,-,9,-,9,9,-,-,-,16,-,16,16,-,-,-,1,-,1,1,-,-,-,6,-,6,6,3,-,3,44,-,44,47,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,18,-,18,18,-,-,-,8,-,8,8,1,-,1,22,-,22,23,1,-,1,41,-,41,42,1,-,1,14,-,14,15,-,-,-,8,-,8,8,-,-,-,10,-,10,10,1,-,1,15,-,15,16,1,-,1,9,-,9,10,2,-,2,42,-,42,44,-,-,-,7,-,7,7,2,-,2,30,-,30,32,-,-,-,28,-,28,28,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,626
(18 a 19),-,-,-,-,4,4,4,-,7,7,-,132,132,139,-,-,-,-,16,16,16,-,-,-,-,4,4,4,-,1,1,-,43,43,44,-,14,14,-,256,256,270,-,1,1,-,17,17,18,-,-,-,-,22,22,22,-,-,-,-,13,13,13,-,1,1,-,12,12,13,-,1,1,-,27,27,28,-,1,1,-,19,19,20,-,1,1,-,29,29,30,-,-,-,-,5,5,5,-,-,-,-,13,13,13,-,13,13,-,120,120,133,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,3,3,-,39,39,42,-,-,-,-,16,16,16,-,1,1,-,42,42,43,-,3,3,-,59,59,62,-,2,2,-,23,23,25,-,1,1,-,26,26,27,-,-,-,-,9,9,9,-,1,1,-,9,9,10,-,2,2,-,17,17,19,-,4,4,-,56,56,60,-,-,-,-,20,20,20,-,-,-,-,52,52,52,-,2,2,-,68,68,70,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1235
(20 a 24),-,3,3,-,25,25,28,-,62,62,-,620,620,682,-,6,6,-,49,49,55,-,1,1,-,16,16,17,-,9,9,-,225,225,234,-,188,188,-,1431,1431,1619,-,1,1,-,133,133,134,-,9,9,-,136,136,145,-,3,3,-,50,50,53,-,5,5,-,45,45,50,-,10,10,-,106,106,116,-,5,5,-,88,88,93,-,6,6,-,107,107,113,-,-,-,-,23,23,23,-,1,1,-,70,70,71,-,48,48,-,588,588,636,-,-,-,-,11,11,11,-,-,-,-,10,10,10,-,15,15,-,163,163,178,-,2,2,-,64,64,66,-,5,5,-,162,162,167,-,20,20,-,224,224,244,-,3,3,-,121,121,124,-,15,15,-,132,132,147,-,2,2,-,45,45,47,-,2,2,-,78,78,80,-,16,16,-,105,105,121,-,28,28,-,245,245,273,-,-,-,-,80,80,80,-,19,19,-,257,257,276,-,14,14,-,368,368,382,-,4,4,-,13,13,17,-,-,-,-,2,2,2,-,-,-,-,9,9,9,6303
(25 a 29),-,2,2,-,25,25,27,-,99,99,-,638,638,737,-,7,7,-,64,64,71,-,5,5,-,24,24,29,-,27,27,-,317,317,344,-,286,286,-,1588,1588,1874,-,9,9,-,155,155,164,-,30,30,-,180,180,210,-,5,5,-,80,80,85,-,1,1,-,56,56,57,-,27,27,-,127,127,154,-,8,8,-,100,100,108,-,10,10,-,154,154,164,-,2,2,-,24,24,26,-,2,2,-,74,74,76,-,82,82,-,643,643,725,-,3,3,-,13,13,16,-,-,-,-,11,11,11,-,25,25,-,179,179,204,-,6,6,-,71,71,77,-,12,12,-,162,162,174,-,37,37,-,239,239,276,-,13,13,-,157,157,170,-,18,18,-,145,145,163,-,4,4,-,57,57,61,-,15,15,-,60,60,75,-,11,11,-,125,125,136,-,43,43,-,309,309,352,-,3,3,-,78,78,81,-,28,28,-,282,282,310,-,42,42,-,500,500,542,-,1,1,-,10,10,11,-,1,1,-,5,5,6,-,-,-,-,5,5,5,7521
(30 a 34),-,-,-,-,14,14,14,-,97,97,-,564,564,661,-,11,11,-,54,54,65,-,6,6,-,12,12,18,-,26,26,-,292,292,318,-,296,296,-,1236,1236,1532,-,9,9,-,136,136,145,-,33,33,-,161,161,194,-,6,6,-,51,51,57,-,6,6,-,53,53,59,-,21,21,-,98,98,119,-,16,16,-,85,85,101,-,13,13,-,112,112,125,-,2,2,-,22,22,24,-,3,3,-,79,79,82,-,92,92,-,539,539,631,-,1,1,-,9,9,10,-,1,1,-,6,6,7,-,21,21,-,177,177,198,-,2,2,-,74,74,76,-,10,10,-,163,163,173,-,37,37,-,237,237,274,-,21,21,-,118,118,139,-,10,10,-,119,119,129,-,5,5,-,34,34,39,-,5,5,-,64,64,69,-,16,16,-,95,95,111,-,60,60,-,262,262,322,-,7,7,-,60,60,67,-,30,30,-,258,258,288,-,42,42,-,433,433,475,-,1,1,-,4,4,5,-,-,-,-,5,5,5,-,2,2,-,4,4,6,6538
