 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTRAFAMILIAR (VIF) EN COLOMBIA AÑO 2021

NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL,TOTAL.1,TOTAL.2,TOTAL.3,TOTAL.4,TOTAL.5,TOTAL.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
91,Amazonas,15,-,15,15,-,15,30,-,19,19,-,23,23,42,-,3,3,-,1,1,4,15,22,37,15,24,39,76
91001,Leticia,15,-,15,14,-,14,29,-,18,18,-,23,23,41,-,3,3,-,1,1,4,15,21,36,14,24,38,74
91540,Puerto Nariño,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2
5,Antioquia,289,-,289,329,-,329,618,-,513,513,-,990,990,1503,-,124,124,-,153,153,277,289,637,926,329,1143,1472,2398
5002,Abejorral,2,-,2,-,-,-,2,-,3,3,-,2,2,5,-,1,1,-,1,1,2,2,4,6,-,3,3,9
5030,Amagá,3,-,3,3,-,3,6,-,2,2,-,9,9,11,-,-,-,-,-,-,-,3,2,5,3,9,12,17
5031,Amalfi,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5034,Andes,2,-,2,1,-,1,3,-,5,5,-,12,12,17,-,1,1,-,1,1,2,2,6,8,1,13,14,22
5040,Anorí,1,-,1,3,-,3,4,-,-,-,-,1,1,1,-,1,1,-,1,1,2,1,1,2,3,2,5,7
5045,Apartadó,2,-,2,4,-,4,6,-,5,5,-,6,6,11,-,-,-,-,-,-,-,2,5,7,4,6,10,17
5079,Barbosa,1,-,1,8,-,8,9,-,8,8,-,16,16,24,-,-,-,-,1,1,1,1,8,9,8,17,25,34
5088,Bello,24,-,24,15,-,15,39,-,25,25,-,57,57,82,-,6,6,-,7,7,13,24,31,55,15,64,79,134
