 DIVIPOLA,"HOMICIDIOS EN COLOMBIA AÑO 2020

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,-,11,11,-,2,2,-,-,-,13,0,46.545085262133455,26.80638479346899,0,9.263977025336978,5.2652362774779515,-,-,-,16.45153125790939
91405,La Chorrera,-,1,1,-,-,-,-,-,-,1,0,128.53470437017995,60.49606775559589,0,0,0,-,-,-,33.840947546531304
91001,Leticia,-,10,10,-,2,2,-,-,-,12,0,65.54368486596316,39.237228282194145,0,13.75232070411882,8.247082594532184,-,-,-,24.126907533626877
5,Antioquia,96,1607,1703,17,119,136,-,1,1,1840,10.939323220536757,68.37000296964916,52.75689634555488,2.024554270559051,4.558993956459692,3.942124967680373,-,-,-,27.553448448845675
5002,Abejorral,-,4,4,-,1,1,-,-,-,5,0,51.43371480005143,37.885963250615646,0,13.917884481558804,10.278548668927948,-,-,-,24.646325232907778
5030,Amagá,1,17,18,-,-,-,-,-,-,18,25.393600812595224,148.54945823138763,117.01989338187492,0,0,0,-,-,-,57.539238564076335
5031,Amalfi,-,5,5,-,1,1,-,-,-,6,0,54.46623093681918,36.83783982907242,0,10.755001075500108,7.408504963698325,-,-,-,22.163939270806395
5034,Andes,3,36,39,1,1,2,-,-,-,41,48.72502842293324,214.96387412670924,170.27593433461405,17.89869339538214,6.366182836771071,9.39187602723644,-,-,-,92.76227968958574
5036,Angelópolis,-,5,5,-,1,1,-,-,-,6,0,234.192037470726,170.29972752043597,0,46.18937644341801,34.42340791738383,-,-,-,102.7221366204417
5038,Angostura,-,7,7,-,-,-,-,-,-,7,0,177.9359430604982,120.06861063464838,0,0,0,-,-,-,60.679611650485434
5040,Anorí,1,18,19,-,1,1,-,-,-,20,28.264556246466928,278.89680818097304,190.15212169735787,0,17.382235355466715,10.974539069359087,-,-,-,104.69011725293132
5044,Anzá,-,2,2,-,-,-,-,-,-,2,0,80.38585209003216,54.06866720735334,0,0,0,-,-,-,27.897893709024967
5045,Apartadó,1,11,12,-,2,2,-,-,-,14,4.586735161911751,27.04829349857382,19.209220425804386,0,4.497919712133138,3.064007108496492,-,-,-,10.95941883767535
5051,Arboletes,-,1,1,-,-,-,-,-,-,1,0,10.787486515641856,6.545359340227778,0,0,0,-,-,-,3.2776138970829236
5055,Argelia,-,2,2,-,-,-,-,-,-,2,0,79.05138339920948,51.4668039114771,0,0,0,-,-,-,26.50762094102054
5059,Armenia,-,1,1,-,-,-,-,-,-,1,0,51.5729757607014,39.55696202531645,0,0,0,-,-,-,19.708316909735906
5079,Barbosa,2,28,30,-,1,1,-,-,-,31,30.326004548900684,137.24144691696893,111.123458162018,0,4.770992366412214,3.656307129798903,-,-,-,57.04086702117872
5088,Bello,5,93,98,1,14,15,-,-,-,113,7.426661715558857,46.75998551948836,36.81262748250461,1.5394325651564833,6.335357630938266,5.245837428000881,-,-,-,20.46530496926582
5086,Belmira,1,-,1,-,-,-,-,-,-,1,100,0,32.39390994493035,0,0,0,-,-,-,16.350555918901243
5091,Betania,1,36,37,-,2,2,-,-,-,39,62.38303181534623,963.3395772009633,692.8838951310861,0,58.78894767783657,40.45307443365696,-,-,-,379.2298716452742
5093,Betulia,-,15,15,-,1,1,-,-,-,16,0,275.8367046708349,184.5926655180901,0,18.98614011771407,12.87001287001287,-,-,-,100.65425264217413
5107,Briceño,-,3,3,-,-,-,-,-,-,3,0,111.89854531891085,70.6880301602262,0,0,0,-,-,-,36.94581280788178
5113,Buriticá,-,2,2,-,-,-,-,-,-,2,0,58.496636443404505,39.880358923230304,0,0,0,-,-,-,20.759809009757113
5120,Cáceres,2,55,57,2,3,5,-,-,-,62,29.976019184652277,601.9481230163074,360.5541147447656,33.61909564632712,34.89183531053733,34.3713480442703,-,-,-,204.24298326525235
5129,Caldas,-,16,16,-,-,-,-,-,-,16,0,51.53642981382465,40.130423877602205,0,0,0,-,-,-,19.17936300540618
5134,Campamento,1,3,4,-,-,-,-,-,-,4,58.5480093676815,97.91122715404698,83.82229673093043,0,0,0,-,-,-,43.27599264308125
5138,Cañasgordas,-,7,7,-,1,1,-,-,-,8,0,127.59752096244986,89.29710422247736,0,18.66368047779022,12.96512381693245,-,-,-,51.440329218107
5147,Carepa,1,8,9,-,-,-,-,-,-,9,10.538518284329223,50.12217279619072,35.36345776031434,0,0,0,-,-,-,17.597716207496628
5154,Caucasia,5,67,72,3,8,11,-,-,-,83,29.20560747663551,229.13033070004448,155.302948599038,18.04294220244181,24.66167267794938,22.418782863897608,-,-,-,86.9774801680866
5172,Chigorodó,3,28,31,-,2,2,-,-,-,33,27.097823141540964,157.3298870596168,107.3853401690453,0,9.818842358485934,6.458279514337381,-,-,-,55.15074537067986
5190,Cisneros,-,1,1,-,-,-,-,-,-,1,0,28.71912693854107,21.114864864864867,0,0,0,-,-,-,10.064412238325282
5101,Ciudad Bolívar,4,35,39,1,5,6,-,-,-,45,106.49627263045794,372.4989357173265,296.53284671532845,28.843380444188057,51.57829585310501,45.589240939138364,-,-,-,171.01812792155968
5197,Cocorná,-,3,3,-,-,-,-,-,-,3,0,59.60659646334195,41.135335252982316,0,0,0,-,-,-,20.225173599406727
5206,Concepción,-,2,2,-,-,-,-,-,-,2,0,113.18619128466328,81.36696501220504,0,0,0,-,-,-,42.034468263976464
5209,Concordia,1,9,10,-,-,-,-,-,-,10,31.94888178913738,116.74665974834609,92.25943352707814,0,0,0,-,-,-,46.108447067502766
5212,Copacabana,-,17,17,-,2,2,-,-,-,19,0,55.24861878453039,42.804985521843136,0,5.962673662870431,4.750029687685548,-,-,-,23.221706184307017
5234,Dabeiba,-,15,15,-,-,-,-,-,-,15,0,218.6588921282799,125.92343854936198,0,0,0,-,-,-,63.80535114211579
