 DIVIPOLA,"PRESUNTOS HOMICIDIOS EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - PRESUNTO HOMICIDIO (CASOS),VIOLENTA - PRESUNTO HOMICIDIO (CASOS).1,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).2,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).3,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).4,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).5,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).6,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).7,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).8,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).9,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).10,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).11,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).12,VIOLENTA - PRESUNTO HOMICIDIO (TASAS),VIOLENTA - PRESUNTO HOMICIDIO (TASAS).1,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).2,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).3,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).4,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).5,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).6,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).7,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).8,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).9,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).10,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).11,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).12
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,3,21,-,24,-,-,-,-,-,-,-,-,24,17.236426314277505,86.46957094622417,-,57.56638123335972,0,0,-,0,-,-,-,-,29.82700338039372
91407,La Pedrera,-,1,-,1,-,-,-,-,-,-,-,-,1,0,83.75209380234506,-,48.146364949446316,0,0,-,0,-,-,-,-,25.138260432378075
91001,Leticia,3,20,-,23,-,-,-,-,-,-,-,-,23,29.302598163703852,127.2264631043257,-,88.60466908082287,0,0,-,0,-,-,-,-,45.26578890397749
5,Antioquia,81,1775,-,1856,18,137,-,155,-,-,-,-,2011,9.241174108283742,73.87734529355528,-,56.60015436960206,2.1475613248067194,5.140170961335784,-,4.424221786523592,-,-,-,-,29.649466928828307
5002,Abejorral,-,1,-,1,-,2,-,2,-,-,-,-,3,0,12.57387149503332,-,9.307520476545049,0,27.300027300027303,-,20.28809089064719,-,-,-,-,14.561693039510729
5030,Amagá,2,16,-,18,-,-,-,-,-,-,-,-,18,50.67139599695972,137.08019191226867,-,115.24425379345669,0,0,-,0,-,-,-,-,56.6607907328129
5031,Amalfi,1,19,-,20,1,-,-,1,-,-,-,-,21,22.722108611679165,202.75317468786682,-,145.22218995062445,23.741690408357076,0,-,7.286505392013991,-,-,-,-,76.37474541751527
5034,Andes,1,43,-,44,-,-,-,-,-,-,-,-,44,16.223231667748216,251.0362543055637,-,188.897952174473,0,0,-,0,-,-,-,-,98.02829453046675
