 DIVIPOLA,"SUICIDIOS EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - SUICIDIO (CASOS),VIOLENTA - SUICIDIO (CASOS).1,VIOLENTA - SUICIDIO (CASOS).2,VIOLENTA - SUICIDIO (CASOS).3,VIOLENTA - SUICIDIO (CASOS).4,VIOLENTA - SUICIDIO (CASOS).5,VIOLENTA - SUICIDIO (CASOS).6,VIOLENTA - SUICIDIO (TASAS),VIOLENTA - SUICIDIO (TASAS).1,VIOLENTA - SUICIDIO (TASAS).2,VIOLENTA - SUICIDIO (TASAS).3,VIOLENTA - SUICIDIO (TASAS).4,VIOLENTA - SUICIDIO (TASAS).5,VIOLENTA - SUICIDIO (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,1,6,7,-,-,-,7,7.975117632985087,24.705591698921186,19.008825526137134,0,0,0,9.870693909781858
91001,Leticia,1,5,6,-,-,-,6,13.700506918755995,31.806615776081426,26.065424214779096,0,0,0,13.31085278196823
91798,Tarapacá,-,1,1,-,-,-,1,0,91.15770282588879,54.82456140350877,0,0,0,29.35995302407516
5,Antioquia,20,325,345,21,65,86,431,3.125097659301853,13.526837870650967,11.338945399198254,3.4286162104974434,2.438767244429387,2.623732637983167,6.819205921665519
5002,Abejorral,-,2,2,-,-,-,2,0,25.14774299006664,19.803940984255867,0,0,0,10.350359674998707
5031,Amalfi,-,1,1,-,1,1,2,0,10.671219720414044,7.906388361796331,0,10.513036164844406,7.893905904641616,7.900142202559646
5034,Andes,1,9,10,-,2,2,12,22.177866489243733,52.54247183139705,46.21499214345133,0,12.485173856045945,9.946784701845129,28.745957599712543
5040,Anorí,-,-,-,1,-,1,1,0,0,0,42.211903756859435,0,12.156576707999028,5.735260380821289
5045,Apartadó,-,2,2,-,-,-,2,0,4.81266693938446,3.4876015763959125,0,0,0,1.6930643618417154
5051,Arboletes,-,-,-,1,-,1,1,0,0,0,25.641025641025642,0,7.220737959419453,3.6056825557077956
5079,Barbosa,1,-,1,-,-,-,1,20.153164046755343,0,3.879878947776829,0,0,0,1.9269679159841988
5088,Bello,4,27,31,-,3,3,34,8.19336337566571,13.267943665294009,12.286083434396279,0,1.3299876754475408,1.0987481595968327,6.47180197808724
5129,Caldas,-,6,6,-,2,2,8,0,18.952555436224653,15.72780413641249,0,5.601770159370361,4.748338081671415,9.966487685158654
5134,Campamento,-,-,-,1,-,1,1,0,0,0,87.7963125548727,0,24.189646831156264,11.661807580174928
5138,Cañasgordas,-,1,1,-,-,-,1,0,17.885888034340905,13.642564802182811,0,0,0,6.870019236053861
5142,Caracolí,-,1,1,-,-,-,1,0,58.20721769499418,46.62004662004662,0,0,0,23.485204321277596
5147,Carepa,-,2,2,-,-,-,2,0,12.251899044351873,8.594387864724336,0,0,0,4.2588530908626305
5154,Caucasia,-,3,3,-,-,-,3,0,9.993670675239017,7.102945354673738,0,0,0,3.435599683924829
5172,Chigorodó,-,3,3,1,1,2,5,0,16.47084660151532,11.416393941700282,12.774655084312725,4.794093676590441,6.9717990727507235,9.096697898662786
5190,Cisneros,-,-,-,-,1,1,1,0,0,0,0,24.69745616201531,20.11667672500503,10.585371017254154
5197,Cocorná,-,1,1,-,1,1,2,0,19.428793471925395,14.858841010401187,0,18.470631695603988,14.279594459517348,14.56346027816209
5206,Concepción,-,1,1,-,-,-,1,0,55.370985603543744,43.177892918825556,0,0,0,22.251891410769915
5212,Copacabana,1,2,3,-,-,-,3,14.958863126402393,6.357885367326827,7.865345288658172,0,0,0,3.811217684050054
5234,Dabeiba,-,2,2,-,-,-,2,0,28.429282160625444,19.080328181644724,0,0,0,9.628809397717973
5250,El Bagre,-,1,1,-,-,-,1,0,6.257039169065198,4.190061174893153,0,0,0,2.0667135121729427
5148,El Carmen de Viboral,-,1,1,-,2,2,3,0,4.445432318292954,3.4728251432540374,0,8.51063829787234,6.7263065850541475,5.125664200652668
5697,El Santuario,-,2,2,-,-,-,2,0,17.151187719749593,12.630249447426587,0,0,0,5.938418599127052
5264,Entrerríos,-,1,1,-,-,-,1,0,23.507287259050305,18.23819077147547,0,0,0,9.129085265656382
5266,Envigado,-,12,12,-,1,1,13,0,13.049151805132666,11.135650785991352,0,0.8872248493935819,0.7842522155125089,5.525519398823489
5282,Fredonia,-,1,1,-,-,-,1,0,10.22704029453876,8.349336227769893,0,0,0,4.206098843322819
5284,Frontino,1,1,2,-,1,1,3,36.73769287288758,15.24390243902439,21.54708037060978,0,14.710208884966166,10.6928999144568,16.09960287646238
5306,Giraldo,1,1,2,-,-,-,2,148.3679525222552,49.11591355599214,73.80073800738008,0,0,0,37.68607499528924
5308,Girardota,-,3,3,-,-,-,3,0,14.575134819997084,11.827321111768185,0,0,0,5.771117480714849
5310,Gómez Plata,-,1,1,-,-,-,1,0,26.910656620021527,21.204410517387615,0,0,0,10.56859015007398
5313,Granada,-,1,1,-,-,-,1,0,31.065548306927617,22.655188038060718,0,0,0,11.198208286674133
5318,Guarne,-,6,6,-,1,1,7,0,27.269008771531155,22.03775802541688,0,4.29166130209004,3.5735982560840514,12.679092177000127
5347,Heliconia,-,1,1,-,-,-,1,0,45.33091568449683,36.75119441381845,0,0,0,19.29384526336099
5353,Hispania,-,2,2,-,1,1,3,0,95.51098376313276,76.16146230007617,0,47.68717215069146,37.835792659856224,56.93680015183146
5360,Itagüí,-,12,12,1,1,2,14,0,10.971829826919384,9.095594700300154,4.633490872022982,0.8009226629076697,1.3657657165489832,5.029277580199016
5361,Ituango,-,-,-,1,-,1,1,0,0,0,36.31082062454612,0,10.007004903432403,3.821607368059006
5368,Jericó,-,1,1,-,1,1,2,0,18.85014137606032,15.35862386730149,0,18.301610541727673,15.11030522816561,15.233452662045854
5376,La Ceja,-,2,2,-,3,3,5,0,7.869368483179225,6.343165239454487,0,10.788650339842487,8.894686907020873,7.6618958595114774
5380,La Estrella,-,6,6,-,2,2,8,0,20.818153429790776,17.13893967093236,0,6.311537490532694,5.346021223704258,11.046824728317155
5400,La Unión,-,-,-,1,-,1,1,0,0,0,44.9842555105713,0,9.305788200260562,4.730592743270732
5411,Liborina,-,1,1,-,-,-,1,0,26.831231553528305,20.508613617719444,0,0,0,10.513036164844406
5440,Marinilla,-,1,1,2,2,4,5,0,4.134623335814108,3.216985684413704,30.8546744831842,7.639127611626753,12.246272540795394,7.843383321829705
5001,Medellín,7,145,152,10,30,40,192,3.312621561380511,15.656228101525782,13.363083777743784,4.877715668198269,2.7724357049056403,3.107773707457491,7.918972414342083
5480,Mutatá,-,2,2,-,-,-,2,0,46.59832246039142,30.88803088803089,0,0,0,15.677667163126126
5495,Nechí,-,1,1,-,-,-,1,0,11.615750958299454,7.904513477195478,0,0,0,4.090983472426771
5501,Olaya,-,1,1,-,-,-,1,0,86.20689655172414,66.71114076050699,0,0,0,33.5795836131632
5541,Peñol,-,1,1,-,-,-,1,0,12.688745083111279,10.01401962747847,0,0,0,4.888780249327793
5543,Peque,-,1,1,-,-,-,1,0,35.12469265893923,25.068939583855602,0,0,0,13.239772275916854
5579,Puerto Berrío,-,2,2,-,-,-,2,0,13.482540110556828,10.451505016722408,0,0,0,5.228758169934641
5604,Remedios,-,1,1,-,-,-,1,0,10.539629005059021,7.459346561241235,0,0,0,3.7098868484511227
5607,Retiro,-,-,-,-,1,1,1,0,0,0,0,9.786651008025053,8.2223318533136,4.231192350004231
5615,Rionegro,-,8,8,-,3,3,11,0,14.637805792911644,11.949751295801155,0,5.134788189987163,4.293934102424641,8.040171621117876
5628,Sabanalarga,-,1,1,-,-,-,1,0,30.816640986132512,22.6295541977823,0,0,0,11.870845204178538
5631,Sabaneta,-,4,4,-,1,1,5,0,12.068913496062516,10.254569692619272,0,2.5150272880460753,2.2053634438955543,5.927612002228782
5642,Salgar,1,1,2,-,-,-,2,52.32862375719519,14.947683109118088,23.253110103476338,0,0,0,11.655690891077569
5656,San Jerónimo,-,1,1,-,1,1,2,0,16.986580601324953,13.368983957219251,0,16.49892756970797,13.070186903672724,13.217897032582115
5659,San Juan de Urabá,-,1,1,-,-,-,1,0,16.778523489932883,10.905125408942203,0,0,0,5.333902282910177
5660,San Luis,-,3,3,-,-,-,3,0,71.14062129475931,51.19453924914676,0,0,0,25.03755633450175
5664,San Pedro de los Milagros,-,1,1,1,-,1,2,0,12.584948401711554,9.666505558240695,42.301184433164124,0,8.942944017170452,9.290658243136527
5665,San Pedro de Urabá,-,1,1,-,-,-,1,0,9.584052137243626,6.637902422834384,0,0,0,3.397546971086875
5667,San Rafael,-,1,1,-,-,-,1,0,17.72735330615139,13.650013650013651,0,0,0,6.797634423220719
5674,San Vicente Ferrer,-,2,2,-,-,-,2,0,23.185717597959655,18.12250815512867,0,0,0,9.451349180095459
5679,Santa Bárbara,-,1,1,-,-,-,1,0,9.676795045480937,7.739339060444238,0,0,0,3.8305370412931894
5042,Santa Fé de Antioquia,-,2,2,-,-,-,2,0,20.554984583761563,15.862944162436547,0,0,0,7.853300349471865
5686,Santa Rosa de Osos,-,1,1,-,2,2,3,0,7.5137125253587795,5.704181164793794,0,14.661681694890403,11.219566924716705,8.4848827672031
5690,Santo Domingo,-,1,1,-,-,-,1,0,20.828993959591752,16.43925694558606,0,0,0,8.544087491455914
5736,Segovia,-,1,1,-,-,-,1,0,7.64876854826373,5.55926173004225,0,0,0,2.7625835681529365
5756,Sonsón,-,3,3,-,-,-,3,0,22.619316896629723,17.33402669440111,0,0,0,8.696408383337682
5789,Támesis,-,1,1,-,-,-,1,0,15.870496746548167,12.78281989006775,0,0,0,6.42508352608584
5837,Turbo,1,7,8,-,-,-,8,5.306165764618487,18.895427306591806,14.313318542904174,0,0,0,6.832876384725105
