 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENCIA INTERPERSONAL (CASOS),VIOLENCIA INTERPERSONAL (CASOS).1,VIOLENCIA INTERPERSONAL (CASOS).2,VIOLENCIA INTERPERSONAL (CASOS).3,VIOLENCIA INTERPERSONAL (CASOS).4,VIOLENCIA INTERPERSONAL (CASOS).5,VIOLENCIA INTERPERSONAL (CASOS).6,VIOLENCIA INTERPERSONAL (TASAS),VIOLENCIA INTERPERSONAL (TASAS).1,VIOLENCIA INTERPERSONAL (TASAS).2,VIOLENCIA INTERPERSONAL (TASAS).3,VIOLENCIA INTERPERSONAL (TASAS).4,VIOLENCIA INTERPERSONAL (TASAS).5,VIOLENCIA INTERPERSONAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,12,111,123,5,45,50,173,68.94570525711002,457.053446430042,295.02770382096855,30.23888720895071,202.35632700782443,128.95571660691718,215.002982700338
91263,El Encanto,-,1,1,-,-,-,1,0,161.29032258064515,87.71929824561404,0,0,0,47.778308647873864
91407,La Pedrera,-,2,2,-,-,-,2,0,167.50418760469012,96.29272989889263,0,0,0,50.27652086475615
91001,Leticia,11,104,115,5,45,50,165,107.44285993358079,661.5776081424937,443.02334540411437,50.91131249363609,299.3613624268228,201.18295577998632,324.7328334415776
91536,Puerto Arica,1,1,2,-,-,-,2,442.4778761061947,315.45741324921136,368.3241252302026,0,0,0,190.47619047619048
91540,Puerto Nariño,-,2,2,-,-,-,2,0,65.81112207963146,36.68378576669112,0,0,0,19.120458891013385
91669,Puerto Santander,-,1,1,-,-,-,1,0,194.9317738791423,106.49627263045794,0,0,0,55.99104143337066
5,Antioquia,284,4738,5022,221,2028,2249,7271,32.401153663612135,197.2004856342901,153.14977114447282,26.367280710126945,76.08953802619686,64.1940309541391,107.2010313473449
5002,Abejorral,2,19,21,2,7,9,30,71.65890361877463,238.9035584056331,195.457930007446,78.98894154818325,95.55009555009555,91.29640900791236,145.61693039510726
5030,Amagá,1,28,29,3,17,20,49,25.33569799847986,239.89033584647018,185.67129777834688,79.0722192936215,137.59611493322544,123.84667781286767,154.2432636615462
5031,Amalfi,1,18,19,2,19,21,40,22.722108611679165,192.08195496745276,137.96108045309325,47.48338081671415,199.74768713204375,153.0166132322938,145.47570555717195
5034,Andes,3,60,63,2,35,37,100,48.66969500324465,350.28314554264693,270.46752243163183,35.887313834559485,218.49054248080404,171.35976287513893,222.79157847833352
5036,Angelópolis,-,1,1,-,-,-,1,0,45.82951420714941,33.47840642785403,0,0,0,16.857720836142953
5038,Angostura,-,6,6,1,6,7,13,0,149.2908683752177,101.26582278481013,56.65722379603399,149.06832298136646,120.89810017271157,110.96884336320957
5040,Anorí,3,24,27,1,3,4,31,83.86916410399776,363.36109008327026,265.17383618149677,29.717682020802375,51.220761481987374,43.374539145521574,159.76087404658836
5045,Apartadó,10,51,61,12,45,57,118,45.88629376405268,122.72300695430373,96.2904498816101,57.454754380925024,98.8685048884983,85.84208069155585,90.94342240136878
5059,Armenia,-,2,2,-,-,-,2,0,101.11223458038423,77.91195948578107,0,0,0,38.81234232485931
5079,Barbosa,1,50,51,1,14,15,66,15.11030522816561,240.24601191620218,185.92781625956982,15.629884338855891,65.50320497824359,54.01317921572864,119.56305139399649
5088,Bello,10,268,278,8,105,113,391,14.910018041121829,131.69662601106646,102.74719385586565,12.365142662833472,46.54956864066393,38.930077446738146,69.71797208071594
5086,Belmira,-,1,1,-,1,1,2,0,46.992481203007515,31.89792663476874,0,47.89272030651341,32.50975292587776,32.20093382708099
5091,Betania,-,10,10,-,-,-,10,0,262.4671916010499,184.6381093057607,0,0,0,95.74875526618155
5093,Betulia,1,10,11,-,5,5,16,36.99593044765076,180.1477211313277,133.2687181972377,0,92.97136481963555,63.379389022689814,99.11416713126434
5107,Briceño,1,3,4,-,2,2,6,63.492063492063494,109.60906101571064,92.7643784786642,0,79.55449482895784,50.838840874428065,72.76255154014068
5113,Buriticá,-,4,4,-,-,-,4,0,114.61318051575931,78.49293563579279,0,0,0,40.88725339875294
5120,Cáceres,-,4,4,1,1,2,6,0,42.854081851296336,24.869435463814973,16.72800267648043,11.401208528103979,13.560241372296428,19.459669834268478
5125,Caicedo,-,2,2,-,1,1,3,0,69.63788300835655,46.16805170821791,0,34.141345168999656,23.062730627306273,34.61005999077065
5129,Caldas,2,82,84,3,38,41,125,22.79202279202279,259.01825762840355,207.7510944030866,34.89183531053733,106.43363302803685,92.54870093225887,147.52047584204686
5134,Campamento,1,6,7,-,8,8,15,58.20721769499418,191.87719859290056,144.47884416924666,0,267.1118530884808,176.1726491962123,159.81248668229276
5138,Cañasgordas,1,1,2,-,1,1,3,42.301184433164124,17.885888034340905,25.141420490257698,0,18.261504747991236,12.758356723653993,18.995757614132845
5142,Caracolí,-,2,2,-,3,3,5,0,116.41443538998836,86.28127696289906,0,175.33606078316774,131.34851138353764,108.64841373315949
5147,Carepa,3,12,15,1,3,4,19,31.53247845280639,73.51139426611125,58.0540289496091,11.036309458117206,17.597372125762554,15.320387605806426,36.57574065874834
5150,Carolina,-,6,6,-,1,1,7,0,382.4091778202677,301.9627579265224,0,60.132291040288635,48.85197850512946,173.52503718393652
5154,Caucasia,4,33,37,3,26,29,66,23.31953594123477,109.93037742762918,78.43636055287035,18.053800324968403,78.45977427726477,58.28559943724249,68.09248197096784
5172,Chigorodó,-,17,17,5,16,21,38,0,93.3347974085868,58.05019634625235,47.03226413319537,76.70549882544705,66.68783740870118,62.52570958453312
5190,Cisneros,2,23,25,2,10,12,37,160.51364365971108,646.61231374754,520.5080158234437,161.55088852988692,246.97456162015314,226.97181766597316,366.69970267591674
5101,Ciudad Bolívar,5,31,36,1,12,13,49,133.1203407880724,322.68137816175704,269.4005837012647,28.91008962127783,121.2243660975856,97.31995807755652,183.3763706448112
5197,Cocorná,-,3,3,-,2,2,5,0,58.286380415776186,40.44216770018873,0,36.941263391207976,26.160889470241987,33.19391887406227
5206,Concepción,-,6,6,-,1,1,7,0,332.22591362126246,239.90403838464613,0,56.36978579481398,42.9000429000429,144.86754966887418
5209,Concordia,5,56,61,2,16,18,79,159.64240102171138,712.5588497264283,554.9995450823401,67.40815638692283,198.3635011157947,163.14692286776034,358.6996004358881
5212,Copacabana,5,83,88,1,35,36,124,56.02868668758404,263.8522427440633,217.9242713157178,11.72882946281961,102.3421737477704,84.25980105324751,149.20703679638052
5234,Dabeiba,1,4,5,-,3,3,8,19.747235387045812,56.85856432125089,41.325729399123894,0,42.67425320056899,25.477707006369425,33.50925693222753
5237,Donmatías,4,12,16,4,11,15,31,140.2032947774273,184.9283402681461,171.26953543138515,145.24328249818447,138.85382479171926,140.5020606968902,154.8606254371066
5240,Ebéjico,-,3,3,-,3,3,6,0,62.5,47.85452225235285,0,64.66910972192282,49.56220056170494,48.69339392955689
5250,El Bagre,1,5,6,-,2,2,8,9.065361254645998,31.28519584532599,22.211527782919337,0,11.846937566639024,7.228567297961543,14.630310345458202
5148,El Carmen de Viboral,4,31,35,1,17,18,53,45.02476361999099,137.80840186708156,111.53956467701329,11.514104778353483,72.34042553191489,55.9266739164207,83.380529859669
5697,El Santuario,2,19,21,1,2,3,24,33.5345405767941,162.93628333762112,119.14893617021276,17.41250217656277,14.487504527345164,15.34683855125844,64.56298926640304
5264,Entrerríos,-,8,8,-,1,1,9,0,188.05829807240244,134.65746507322,0,23.99808015358771,16.747613465081226,75.55406312961719
5266,Envigado,5,140,145,6,49,55,200,23.51060328208022,152.24010439321444,128.06132812844993,29.9028158484924,43.47401762028551,41.42314876182443,81.2998215468917
5282,Fredonia,3,13,16,-,2,2,18,105.07880910683014,132.9515238290039,126.65241826961135,0,20.73183373069348,15.99360255897641,71.60474182512532
5306,Giraldo,-,1,1,-,-,-,1,0,49.11591355599214,33.41129301703976,0,0,0,17.126220243192325
5308,Girardota,1,43,44,2,18,20,64,15.29987760097919,208.91026575329155,162.24787049669973,32.92181069958848,81.44796380090497,70.9849157054126,115.74492711686621
5310,Gómez Plata,1,29,30,3,6,9,39,77.57951900698215,780.4090419806244,599.4005994005994,246.1033634126333,155.80368735393407,177.51479289940826,387.0967741935484
5313,Granada,-,3,3,-,2,2,5,0,93.19664492078284,60.814919927022096,0,57.88712011577424,40.14452027298274,50.42864346949067
5315,Guadalupe,-,12,12,-,3,3,15,0,496.68874172185434,348.3309143686502,0,125.8917331095258,90.27986758952753,221.63120567375887
5318,Guarne,9,74,83,3,28,31,114,123.59241966492722,336.3177748488842,283.4215468669968,46.24633883150917,120.16651645852109,104.06875251779239,192.9815651820629
5321,Guatapé,-,5,5,-,4,4,9,0,154.46400988569664,115.76753878212548,0,115.77424023154848,88.39779005524862,101.76390773405699
5347,Heliconia,-,3,3,-,-,-,3,0,135.9927470534905,104.85844110450893,0,0,0,54.754517247672936
5353,Hispania,-,3,3,1,2,3,6,0,143.26647564469914,106.00706713780917,133.15579227696406,95.37434430138292,105.33707865168539,105.67101091933779
5360,Itagüí,9,259,268,10,66,76,344,29.124328522425735,236.80866043101003,191.05601220477212,33.98817211610359,52.86089575190619,49.261722345376526,116.78792467178859
5361,Ituango,-,11,11,2,3,5,16,0,84.07857525032485,64.01303538175047,52.673163023439564,41.44218814753419,45.30627038782168,56.69737774627923
5364,Jardín,-,11,11,1,5,6,17,0,198.5201227215304,146.9213303058635,56.24296962879641,86.28127696289906,79.2288392975043,112.88180610889773
5368,Jericó,3,32,35,1,14,15,50,186.33540372670808,603.2045240339303,506.14605929139555,64.93506493506493,256.2225475841874,214.1633352370074,359.22120842014516
