 DIVIPOLA,"EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",PRESUNTO DELITO SEXUAL (CASOS),PRESUNTO DELITO SEXUAL (CASOS).1,PRESUNTO DELITO SEXUAL (CASOS).2,PRESUNTO DELITO SEXUAL (CASOS).3,PRESUNTO DELITO SEXUAL (CASOS).4,PRESUNTO DELITO SEXUAL (CASOS).5,PRESUNTO DELITO SEXUAL (CASOS).6,PRESUNTO DELITO SEXUAL (CASOS).7,PRESUNTO DELITO SEXUAL (CASOS).8,PRESUNTO DELITO SEXUAL (TASAS),PRESUNTO DELITO SEXUAL (TASAS).1,PRESUNTO DELITO SEXUAL (TASAS).2,PRESUNTO DELITO SEXUAL (TASAS).3,PRESUNTO DELITO SEXUAL (TASAS).4,PRESUNTO DELITO SEXUAL (TASAS).5,PRESUNTO DELITO SEXUAL (TASAS).6,PRESUNTO DELITO SEXUAL (TASAS).7,PRESUNTO DELITO SEXUAL (TASAS).8
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,12,1,-,13,58,6,-,64,77,68.94570525711002,4.117598616486865,-,31.181789834736513,350.7710916238282,26.980843601043258,-,165.06331725685402,95.69496917876317
91263,El Encanto,-,-,-,-,1,-,-,1,1,0,0,-,0,215.51724137931035,0,-,104.93179433368311,47.778308647873864
91405,La Chorrera,-,-,-,-,3,-,-,3,3,0,0,-,0,407.05563093622794,0,-,228.65853658536585,100.73875083948958
91001,Leticia,12,1,-,13,52,5,-,57,70,117.21039265481541,6.361323155216285,-,50.080899915247706,529.4776499338153,33.262373602980304,-,229.34856958918442,137.76544449036626
91536,Puerto Arica,-,-,-,-,2,-,-,2,2,0,0,-,0,934.5794392523363,0,-,394.47731755424064,190.47619047619048
91669,Puerto Santander,-,-,-,-,-,1,-,1,1,0,0,-,0,0,238.66348448687353,-,118.06375442739079,55.99104143337066
5,Antioquia,322,32,-,354,1542,406,-,1948,2302,36.736519294658834,1.3318732672640952,-,10.795503581271083,183.9744201584423,15.23291540366663,-,55.60247767837392,33.939867165670194
5002,Abejorral,4,1,-,5,16,1,-,17,22,143.31780723754926,12.57387149503332,-,46.53760238272525,631.911532385466,13.650013650013651,-,172.44877257050112,106.785748956412
5004,Abriaquí,-,-,-,-,2,-,-,2,2,0,0,-,0,573.0659025787966,0,-,157.48031496062993,72.02016564638099
5030,Amagá,7,-,-,7,15,2,-,17,24,177.349885989359,0,-,44.81720980856649,395.3610964681075,16.187778227438287,-,105.2696761409375,75.54772097708386
5031,Amalfi,-,-,-,-,16,1,-,17,17,0,0,-,0,379.8670465337132,10.513036164844406,-,123.87059166423784,61.82717486179808
5034,Andes,3,-,-,3,21,5,-,26,29,48.66969500324465,0,-,12.879405830077705,376.81679526287456,31.212934640114863,-,120.41496850685438,64.60955775871672
5036,Angelópolis,-,-,-,-,1,-,-,1,1,0,0,-,0,135.50135501355012,0,-,33.955857385398986,16.857720836142953
5038,Angostura,-,-,-,-,3,1,-,4,4,0,0,-,0,169.97167138810198,24.84472049689441,-,69.08462867012089,34.14425949637217
5040,Anorí,1,-,-,1,12,3,-,15,16,27.95638803466592,0,-,9.821253191907287,356.6121842496285,51.220761481987374,-,162.6545217957059,82.45722531436817
5044,Anzá,1,-,-,1,4,-,-,4,5,82.10180623973727,0,-,26.567481402763015,365.6307129798903,0,-,113.76564277588167,68.68131868131869
5045,Apartadó,6,-,-,6,43,9,-,52,58,27.53177625843161,0,-,9.471191791633782,205.87953653164797,19.773700977699658,-,78.3120736133492,44.70100423118126
5051,Arboletes,-,-,-,-,1,-,-,1,1,0,0,-,0,18.047283883775492,0,-,6.45577792123951,3.2274722437387036
5055,Argelia,-,-,-,-,3,-,-,3,3,0,0,-,0,265.2519893899204,0,-,80.71025020177562,39.15426781519186
5059,Armenia,-,-,-,-,1,-,-,1,1,0,0,-,0,165.56291390728478,0,-,38.669760247486465,19.406171162429654
5079,Barbosa,4,-,-,4,15,8,-,23,27,60.44122091266244,0,-,14.582573824279985,234.4482650828384,37.43040284471061,-,82.82020813078391,48.9121573884531
5088,Bello,15,1,-,16,79,22,-,101,117,22.365027061682742,0.4914053209368151,-,5.913507560049822,122.10578379548053,9.753242953281966,-,34.795909930270376,20.861899574024974
5091,Betania,-,-,-,-,5,1,-,6,6,0,0,-,0,323.62459546925567,28.71088142405972,-,119.33174224343676,57.44925315970893
5093,Betulia,1,-,-,1,8,2,-,10,11,36.99593044765076,0,-,12.1153380179307,318.5981680605336,37.18854592785422,-,126.75877804537963,68.14098990274422
5107,Briceño,-,-,-,-,4,-,-,4,4,0,0,-,0,281.69014084507046,0,-,101.67768174885613,48.50836769342712
5113,Buriticá,-,-,-,-,1,1,-,2,2,0,0,-,0,60.60606060606061,32.927230819888045,-,42.67121826328142,20.44362669937647
5120,Cáceres,2,-,-,2,4,1,-,5,7,29.62962962962963,0,-,12.434717731907487,66.91201070592172,11.401208528103979,-,33.90060343074107,22.702948139979892
5125,Caicedo,-,-,-,-,1,-,-,1,1,0,0,-,0,71.07320540156361,0,-,23.062730627306273,11.536686663590217
5129,Caldas,8,-,-,8,37,8,-,45,53,91.16809116809117,0,-,19.785818514579674,430.3326354966271,22.407080637481442,-,101.57784248662558,62.54868175702788
5134,Campamento,-,-,-,-,10,-,-,10,10,0,0,-,0,646.8305304010349,0,-,220.21581149526537,106.5416577881952
5138,Cañasgordas,4,-,-,4,13,-,-,13,17,169.2047377326565,0,-,50.282840980515395,550.381033022862,0,-,165.8586374075019,107.64262648008611
5147,Carepa,2,-,-,2,1,1,-,2,4,21.02165230187093,0,-,7.740537193281214,11.036309458117206,5.865790708587517,-,7.660193802903213,7.700155928157545
5150,Carolina,1,-,-,1,2,-,-,2,3,239.23444976076553,0,-,50.327126321087064,520.8333333333333,0,-,97.70395701025892,74.36787307882994
5154,Caucasia,3,-,-,3,17,5,-,22,25,17.489651955926078,0,-,6.359704909692191,102.30486850815431,15.088418130243225,-,44.21666164204603,25.792606807184786
5172,Chigorodó,1,-,-,1,9,5,-,14,15,9.032607713846987,0,-,3.414717432132491,84.65807543975167,23.970468382952205,-,44.45855827246745,24.681201151789384
5190,Cisneros,2,-,-,2,10,-,-,10,12,160.51364365971108,0,-,41.640641265875495,807.7544426494346,0,-,189.14318138831095,118.92963330029734
5101,Ciudad Bolívar,2,-,-,2,8,4,-,12,14,53.24813631522897,0,-,14.966699094514706,231.28071697022264,40.40812203252854,-,89.83380745620602,52.393248755660345
5197,Cocorná,-,-,-,-,3,-,-,3,3,0,0,-,0,134.4688480502017,0,-,39.24133420536298,19.91635132443736
