 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA DE PAREJA EN COLOMBIA AÑO 2021

NÚMERO DE CASOS",VIOLENCIA DE PAREJA (CASOS),VIOLENCIA DE PAREJA (CASOS).1,VIOLENCIA DE PAREJA (CASOS).2,VIOLENCIA DE PAREJA (CASOS).3,VIOLENCIA DE PAREJA (CASOS).4,VIOLENCIA DE PAREJA (CASOS).5,VIOLENCIA DE PAREJA (CASOS).6,VIOLENCIA DE PAREJA (TASAS),VIOLENCIA DE PAREJA (TASAS).1,VIOLENCIA DE PAREJA (TASAS).2,VIOLENCIA DE PAREJA (TASAS).3,VIOLENCIA DE PAREJA (TASAS).4,VIOLENCIA DE PAREJA (TASAS).5,VIOLENCIA DE PAREJA (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,-,9,9,2,104,106,115,0,37.05838754838178,28.20786059048455,28.00728189329226,467.66795575141646,360.8019333537561,187.64787468385413
91001,Leticia,-,9,9,2,104,106,115,0,57.25190839694657,44.70716804927723,47.09206498704968,691.8573709419903,549.8210488095855,291.80411063181936
5,Antioquia,1,531,532,89,3089,3178,3710,0.2499362662521057,22.100772028663577,18.981472726799165,23.203610377488847,115.89772335449807,104.23629692847317,63.401733721263085
5002,Abejorral,-,1,1,-,13,13,14,0,12.57387149503332,10.695187165775401,0,177.45017745017745,152.421151365928,78.30415571340679
5030,Amagá,-,1,1,-,15,15,16,0,8.567511994516792,7.39863865048831,0,121.40833670578712,106.10454834830585,57.85990670090044
5031,Amalfi,-,1,1,-,13,13,14,0,10.671219720414044,8.742787200559539,0,136.66947014297727,112.97471104545059,61.0154717803443
5034,Andes,-,3,3,-,31,31,34,0,17.514157277132348,15.040609646044318,0,193.52019476871217,166.83709165276358,88.2497988423703
5038,Angostura,-,-,-,-,4,4,4,0,0,0,0,99.37888198757764,82.49123530624871,41.08041491219061
5040,Anorí,-,2,2,2,14,16,18,0,30.28009084027252,24.38132390588809,141.54281670205236,239.03022024927438,220.08253094910592,116.33167452982615
5045,Apartadó,-,10,10,2,55,57,67,0,24.0633346969223,19.519812609798947,21.117094287825996,120.83928375260903,103.66275051831376,63.079008812231685
5055,Argelia,-,-,-,-,1,1,1,0,0,0,0,38.669760247486465,32.35198964736332,15.867978419549349
5079,Barbosa,-,4,4,1,40,41,45,0,19.219680953296173,16.661806972966218,33.01419610432486,187.1520142235531,168.0190148348496,92.95792104773905
5088,Bello,-,38,38,6,203,209,247,0,18.673402195598975,16.229744851326995,19.93355481727575,89.99583270528359,81.74727965392348,50.428334599145785
5091,Betania,-,-,-,-,2,2,2,0,0,0,0,57.42176284811944,47.337278106508876,22.753128555176335
5093,Betulia,-,-,-,-,4,4,4,0,0,0,0,74.37709185570844,61.22761365375785,30.012004801920767
5107,Briceño,-,-,-,-,4,4,4,0,0,0,0,159.10898965791569,128.5760205721633,60.97560975609756
5120,Cáceres,-,-,-,-,1,1,1,0,0,0,0,11.401208528103979,8.926180487369455,4.271131422713877
5125,Caicedo,-,-,-,-,1,1,1,0,0,0,0,34.141345168999656,28.042624789680314,14.17836381681554
5129,Caldas,-,11,11,1,48,49,60,0,34.746351633078525,30.71853444664749,24.142926122646063,134.44248382488865,122.97653406951939,79.30843048616067
5134,Campamento,-,-,-,1,2,3,3,0,0,0,141.44271570014143,66.7779632721202,81.03727714748784,39.13894324853229
5138,Cañasgordas,-,-,-,-,8,8,8,0,0,0,0,146.09203798392988,121.74707046111702,60.39103193175813
5147,Carepa,-,1,1,1,5,6,7,0,6.125949522175937,4.845900368288428,24.330900243309003,29.328953542937587,28.358067870309103,16.74881561946691
5150,Carolina,-,1,1,-,4,4,5,0,63.73486297004461,56.08524957936063,0,240.52916416115454,214.36227224008573,137.02384214853384
5154,Caucasia,-,6,6,-,28,28,34,0,19.987341350478033,16.07372481783112,0,84.49514152936206,69.33438985736926,43.75128680255302
5172,Chigorodó,-,1,1,-,24,24,25,0,5.490282200505106,4.318162190171863,0,115.05824823817058,93.2690812995492,51.13520147269381
5190,Cisneros,-,4,4,-,6,6,10,0,112.4543154343548,96.85230024213075,0,148.18473697209188,129.67365463583315,114.19435879867535
5101,Ciudad Bolívar,-,6,6,-,10,10,16,0,62.454460289372335,52.79366476022878,0,101.02030508132135,86.80555555555556,69.91479134804457
5197,Cocorná,-,-,-,-,3,3,3,0,0,0,0,55.411895086811974,47.073591715047854,24.082844986754434
5206,Concepción,-,1,1,-,2,2,3,0,55.370985603543744,47.1253534401508,0,112.73957158962796,98.81422924901185,72.3589001447178
5209,Concordia,-,-,-,2,14,16,16,0,0,0,138.02622498274673,173.56806347632036,168.15554387808723,84.70538408597596
5212,Copacabana,-,5,5,2,49,51,56,0,15.894713418317068,13.972725240330872,48.37929366231253,143.27904324687856,133.0446351707406,75.55621517330707
5234,Dabeiba,-,1,1,2,8,10,11,0,14.214641080312722,11.113580795732386,106.60980810234541,113.79800853485065,112.28385358185494,61.43878462913316
5237,Donmatías,-,4,4,3,16,19,23,0,61.642780089382036,51.746442432082794,221.72949002217294,201.9691996970462,204.85175202156333,135.25433695971773
5240,Ebéjico,-,-,-,1,9,10,10,0,0,0,154.79876160990713,194.00732916576848,189.2147587511826,92.27646027498385
5250,El Bagre,-,-,-,-,3,3,3,0,0,0,0,17.770406349958535,14.008872285780996,7.123352724682418
5148,El Carmen de Viboral,-,4,4,2,26,28,32,0,17.781729273171816,15.193527557260607,52.12405525149857,110.63829787234043,102.42528441306654,59.63029218843172
5697,El Santuario,-,3,3,-,6,6,9,0,25.72678157962439,21.240441801189466,0,43.4625135820355,36.9982117530986,29.662832470913948
5264,Entrerríos,-,1,1,-,1,1,2,0,23.507287259050305,19.91238550378335,0,23.99808015358771,20.13693113169553,20.024028834601523
5266,Envigado,-,14,14,1,56,57,71,0,15.224010439321445,13.712584234446012,10.542962572482868,49.68459156604058,46.64637140331926,31.655163804326502
5282,Fredonia,-,2,2,-,7,7,9,0,20.45408058907752,17.828489926903192,0,72.56141805742718,63.54970494779846,40.48036702199433
5284,Frontino,-,-,-,-,1,1,1,0,0,0,0,14.710208884966166,12.087513598452798,6.089021494245874
5306,Giraldo,-,-,-,-,1,1,1,0,0,0,0,51.94805194805195,42.82655246252676,20.955574182732608
5308,Girardota,-,1,1,-,16,16,17,0,4.858378273332361,4.237647258242224,0,72.39819004524887,64.01792501900532,34.98590273919039
5310,Gómez Plata,-,1,1,1,4,5,6,0,26.910656620021527,22.90950744558992,181.48820326678765,103.8691249026227,113.58473421172195,68.43846241587772
5313,Granada,-,2,2,-,2,2,4,0,62.131096613855235,51.059484299208584,0,57.88712011577424,49.00759617740749,50.01250312578145
5315,Guadalupe,-,1,1,-,4,4,5,0,41.390728476821195,34.65003465003465,0,167.85564414603442,140.79549454417457,87.30574471800244
5318,Guarne,-,9,9,-,40,40,49,0,40.903513157296736,35.650623885918,0,171.66645208360157,152.54366562428496,95.20663726271202
5321,Guatapé,-,-,-,-,9,9,9,0,0,0,0,260.49204052098406,229.06592008144565,117.60094080752646
5353,Hispania,-,-,-,-,4,4,4,0,0,0,0,190.74868860276584,164.4736842105263,82.32146532208273
5360,Itagüí,-,30,30,3,134,137,167,0,27.42957456729846,24.265758588056393,21.83565033845258,107.32363682962773,98.84916483278619,63.68552317466613
5361,Ituango,-,2,2,-,11,11,13,0,15.287013681877244,13.29168605037549,0,151.95468987429203,123.22168701691498,54.22541086176692
5364,Jardín,-,1,1,1,7,8,9,0,18.047283883775492,15.479876160990713,121.65450121654501,120.79378774805868,120.90071029167297,68.82312456985547
5368,Jericó,-,1,1,1,14,15,16,0,18.85014137606032,16.479894528675015,135.50135501355012,256.2225475841874,241.8574653337633,130.39934800325997
5376,La Ceja,-,7,7,1,35,36,43,0,27.542789691127286,23.859027233375368,26.581605528973952,125.86758729816233,114.0359213152143,70.59827937216787
5380,La Estrella,-,10,10,2,45,47,57,0,34.69692238298463,30.524098775983642,55.12679162072767,142.00959353698562,133.08415449088233,83.72871895060005
5390,La Pintada,-,-,-,-,1,1,1,0,0,0,0,31.665611146295124,27.114967462039047,13.491635186184565
5400,La Unión,-,-,-,-,1,1,1,0,0,0,0,11.732957878681216,10.070493454179255,5.137954066690644
5425,Maceo,-,-,-,-,1,1,1,0,0,0,0,34.129692832764505,28.793550244745177,14.520110352838682
5440,Marinilla,-,-,-,-,2,2,2,0,0,0,0,7.639127611626753,6.618133686300464,3.411339291805963
5001,Medellín,1,288,289,34,1574,1608,1897,0.7443189853443591,31.09650822923741,27.25129655822725,25.96787620960659,145.46045998404927,132.56257976013427,83.43919011643659
5467,Montebello,-,-,-,-,2,2,2,0,0,0,0,80.64516129032258,69.85679357317498,34.15300546448088
5480,Mutatá,-,2,2,-,8,8,10,0,46.59832246039142,35.86800573888092,0,188.14675446848543,147.57424829367275,90.93389106119851
5490,Necoclí,-,-,-,-,6,6,6,0,0,0,0,43.41848180041971,34.04255319148936,17.421096948404518
5501,Olaya,-,-,-,-,1,1,1,0,0,0,0,86.88097306689835,73.96449704142012,36.77822728944465
5541,Peñol,-,1,1,1,12,13,14,0,12.688745083111279,10.901558922925979,80.25682182985554,142.72121788772597,134.65920861818935,74.36128963722314
5579,Puerto Berrío,-,5,5,2,25,27,32,0,33.70635027639207,28.57959416976279,78.003120124805,166.91147015622914,153.91631512940373,91.33202043553956
5585,Puerto Nare,-,-,-,-,1,1,1,0,0,0,0,19.007793195210038,16.155088852988694,8.118860112040268
5591,Puerto Triunfo,-,-,-,-,3,3,3,0,0,0,0,50.641458474004054,42.22972972972973,18.765246762994934
5604,Remedios,-,1,1,-,3,3,4,0,10.539629005059021,8.456659619450317,0,30.453761039488374,24.85295335929086,16.739203213927016
