Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),00:00 a 02:59,03:00 a 05:59,06:00 a 08:59,09:00 a 11:59,12:00 a 14:59,15:00 a 17:59,18:00 a 20:59,21:00 a 23:59,Sin información,TOTAL
Amazonas , Leticia,91001.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 
Amazonas , Leticia,91001.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , -   , -   , 2 , 2 , 5 
Amazonas , Leticia,91001.0,HOMBRE,TOTAL, -   , -   , -   , 1 , 1 , -   , -   , 2 , 2 , 6 
Amazonas , Leticia,91001.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,TOTAL,, -   , -   , -   , 1 , 1 , -   , -   , 2 , 2 , 6 
Amazonas , Tarapacá,91798.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Amazonas , Tarapacá,91798.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Amazonas , Tarapacá,91798.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Tarapacá,91798.0,TOTAL,, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
