CÓDIGOS,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/HOMBRE/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/MUJER/VIOLENCIA INTERPERSONAL (CASOS),/TOTAL/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA INTERPERSONAL (TASAS)
91,Amazonas,20,75,95,8,32,40,135.0,114.92931846914148,317.3528540600008,231.5096868526867,48.79238838741156,148.22363240539164,105.30472554955902,170.84282460136674
91001,Leticia,20,75,95,8,32,40,135.0,195.5225339720403,491.5776364947238,372.7536686808444,82.40626287597857,220.0371312659011,164.94165189064367,271.42770975330234
5,Antioquia,315,4370,4685,229,1871,2100,6785.0,35.89465431738623,185.92216115579765,145.13567785021996,27.271936938707213,71.67964447509314,60.87104729506457,101.60334115511844
5002,Abejorral,2,29,31,-,5,5,36.0,71.9165767709457,372.8944323003729,293.6162151922713,0.0,69.58942240779402,51.39274334463973,177.45354167693597
5030,Amagá,1,33,34,3,20,23,57.0,25.393600812595224,288.36071303739953,221.03757638798595,79.21837866385002,165.0982334489021,144.64499088107667,182.20758878624173
5031,Amalfi,-,7,7,2,1,3,10.0,0.0,76.25272331154683,51.5729757607014,47.61904761904762,10.755001075500108,22.225514891094978,36.93989878467733
5034,Andes,4,42,46,2,24,26,72.0,64.966704563911,250.7911864811608,200.8382815228781,35.79738679076428,152.78838808250572,122.09438835407373,162.89961311341887
5036,Angelópolis,-,2,2,-,-,-,2.0,0.0,93.6768149882904,68.11989100817438,0.0,0.0,0.0,34.240712206813896
5038,Angostura,-,10,10,-,-,-,10.0,0.0,254.1942043721403,171.52658662092625,0.0,0.0,0.0,86.68515950069349
5040,Anorí,3,8,11,2,10,12,23.0,84.79366873940079,123.95413696932135,110.0880704563651,59.54153021732659,173.82235355466713,131.69446883230904,120.39363484087102
5044,Anzá,-,6,6,-,-,-,6.0,0.0,241.15755627009648,162.20600162206003,0.0,0.0,0.0,83.69368112707491
5045,Apartadó,2,10,12,3,11,14,26.0,9.173470323823501,24.589357725976196,19.209220425804386,14.416838867797587,24.73855841673226,21.448049759475442,20.35320641282565
5055,Argelia,-,1,1,-,-,-,1.0,0.0,39.52569169960474,25.73340195573855,0.0,0.0,0.0,13.25381047051027
5059,Armenia,-,1,1,-,-,-,1.0,0.0,51.5729757607014,39.55696202531645,0.0,0.0,0.0,19.708316909735906
5079,Barbosa,8,53,61,5,43,48,109.0,121.30401819560274,259.77845309283407,225.95103159610326,78.24726134585289,205.1526717557252,175.50274223034737,200.56304855833807
5088,Bello,15,276,291,11,88,99,390.0,22.27998514667657,138.77156992880413,109.31096527968207,16.933758216721316,39.822247965897674,34.62252702480582,70.63246847799708
5086,Belmira,-,3,3,1,-,1,4.0,0.0,143.74700527072352,97.18172983479106,101.7293997965412,0.0,33.01419610432486,65.40222367560497
5091,Betania,1,15,16,2,6,8,24.0,62.38303181534623,401.3914905004014,299.62546816479403,129.70168612191958,176.3668430335097,161.81229773462783,233.3722287047841
5093,Betulia,-,11,11,-,4,4,15.0,0.0,202.2802500919456,135.36795471326604,0.0,75.94456047085627,51.48005148005148,94.36336185203825
5107,Briceño,1,3,4,2,4,6,10.0,63.97952655150352,111.89854531891085,94.2507068803016,141.74344436569808,162.27180527383368,154.79876160990713,123.15270935960591
5113,Buriticá,-,1,1,-,1,1,2.0,0.0,29.248318221702252,19.940179461615152,0.0,33.60215053763441,21.649707728945657,20.759809009757113
5120,Cáceres,3,10,13,1,3,4,17.0,44.96402877697842,109.44511327569224,82.23164020494654,16.80954782316356,34.89183531053733,27.49707843541624,56.00210831466597
5129,Caldas,6,71,77,5,32,37,114.0,67.99637352674524,228.69290729884685,193.12766491096062,57.997912075165296,91.60654986831558,84.9539641356508,136.65296141351905
5134,Campamento,-,7,7,-,6,6,13.0,0.0,228.45953002610966,146.68901927912825,0.0,204.91803278688525,134.19816595839856,140.64697609001408
5138,Cañasgordas,1,10,11,2,3,5,16.0,42.49893752656183,182.28217280349983,140.32402092103584,84.92569002123143,55.99104143337066,64.82561908466226,102.880658436214
5147,Carepa,-,8,8,-,2,2,10.0,0.0,50.12217279619072,31.434184675834967,0.0,11.998320235167077,7.78422138325614,19.553018008329584
5150,Carolina,-,28,28,3,7,10,38.0,0.0,1819.3632228719946,1429.3006636038795,779.2207792207793,429.97542997542996,496.7709885742673,956.6968781470291
5154,Caucasia,4,46,50,4,42,46,96.0,23.364485981308412,157.31336137614994,107.84926986044304,24.057256269922416,129.47378155923425,93.75127379448091,100.60045898959413
5172,Chigorodó,-,8,8,3,8,11,19.0,0.0,44.95139630274765,27.712345850076208,28.30455703368242,39.27536943394374,35.52053732885559,31.753459455845977
5190,Cisneros,-,16,16,-,11,11,27.0,0.0,459.5060310166571,337.83783783783787,0.0,277.91814047498735,211.53846153846152,271.7391304347826
5101,Ciudad Bolívar,4,21,25,-,11,11,36.0,106.49627263045794,223.4993614303959,190.08515815085158,0.0,113.47225087683104,83.580275055087,136.81450233724775
5197,Cocorná,-,1,1,1,-,1,2.0,0.0,19.86886548778065,13.71177841766077,44.742729306487696,0.0,13.26259946949602,13.48344906627115
5206,Concepción,-,9,9,-,4,4,13.0,0.0,509.3378607809848,366.1513425549227,0.0,229.75301550832856,173.91304347826087,273.224043715847
5209,Concordia,1,33,34,2,26,28,62.0,31.94888178913738,428.07108574393567,313.6820739920657,67.49915626054674,329.6981993406036,258.0883030694073,285.87237181851714
5212,Copacabana,2,54,56,1,27,28,84.0,22.358859698155396,175.49561260968477,141.00465818960092,11.678150181011329,80.49609444875082,66.50041562759768,102.66438523588366
5234,Dabeiba,-,9,9,3,6,9,18.0,0.0,131.19533527696794,75.55406312961719,63.29113924050633,87.5018229546449,77.6062774855566,76.56642137053895
