Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN MUNICIPAL POR ÁREA.,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN A NIVEL MUNICIPAL. PERIODO 1995 - 2004.,,,,,,
,,,,,,
,,,,,,
,,,,,,
DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Población
05,Antioquia,05001,Medellín,1995,Cabecera Municipal,1704227
05,Antioquia,05001,Medellín,1995,Centros Poblados y Rural Disperso,52534
05,Antioquia,05001,Medellín,1995,Total,1756761
05,Antioquia,05001,Medellín,1996,Cabecera Municipal,1735720
05,Antioquia,05001,Medellín,1996,Centros Poblados y Rural Disperso,52111
05,Antioquia,05001,Medellín,1996,Total,1787831
05,Antioquia,05001,Medellín,1997,Cabecera Municipal,1764426
05,Antioquia,05001,Medellín,1997,Centros Poblados y Rural Disperso,51875
05,Antioquia,05001,Medellín,1997,Total,1816301
05,Antioquia,05001,Medellín,1998,Cabecera Municipal,1795878
05,Antioquia,05001,Medellín,1998,Centros Poblados y Rural Disperso,51513
05,Antioquia,05001,Medellín,1998,Total,1847391
05,Antioquia,05001,Medellín,1999,Cabecera Municipal,1826719
05,Antioquia,05001,Medellín,1999,Centros Poblados y Rural Disperso,51146
05,Antioquia,05001,Medellín,1999,Total,1877865
05,Antioquia,05001,Medellín,2000,Cabecera Municipal,1857106
05,Antioquia,05001,Medellín,2000,Centros Poblados y Rural Disperso,50753
05,Antioquia,05001,Medellín,2000,Total,1907859
05,Antioquia,05001,Medellín,2001,Cabecera Municipal,1886530
05,Antioquia,05001,Medellín,2001,Centros Poblados y Rural Disperso,50330
05,Antioquia,05001,Medellín,2001,Total,1936860
05,Antioquia,05001,Medellín,2002,Cabecera Municipal,1915115
05,Antioquia,05001,Medellín,2002,Centros Poblados y Rural Disperso,49900
05,Antioquia,05001,Medellín,2002,Total,1965015
05,Antioquia,05001,Medellín,2003,Cabecera Municipal,1943194
05,Antioquia,05001,Medellín,2003,Centros Poblados y Rural Disperso,49446
05,Antioquia,05001,Medellín,2003,Total,1992640
05,Antioquia,05001,Medellín,2004,Cabecera Municipal,1970901
05,Antioquia,05001,Medellín,2004,Centros Poblados y Rural Disperso,49029
05,Antioquia,05001,Medellín,2004,Total,2019930
05,Antioquia,05002,Abejorral,1995,Cabecera Municipal,6757
05,Antioquia,05002,Abejorral,1995,Centros Poblados y Rural Disperso,18574
05,Antioquia,05002,Abejorral,1995,Total,25331
05,Antioquia,05002,Abejorral,1996,Cabecera Municipal,6798
05,Antioquia,05002,Abejorral,1996,Centros Poblados y Rural Disperso,18296
05,Antioquia,05002,Abejorral,1996,Total,25094
05,Antioquia,05002,Abejorral,1997,Cabecera Municipal,6848
05,Antioquia,05002,Abejorral,1997,Centros Poblados y Rural Disperso,18081
05,Antioquia,05002,Abejorral,1997,Total,24929
05,Antioquia,05002,Abejorral,1998,Cabecera Municipal,6885
05,Antioquia,05002,Abejorral,1998,Centros Poblados y Rural Disperso,17799
