Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Amazonas , Leticia,91001.0,Hombre,Menores de Edad (<18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , Leticia,91001.0,Hombre,Mayores de Edad (>18 años), -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 
Amazonas , Leticia,91001.0,HOMBRE,TOTAL, -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , 6 
Amazonas , Leticia,91001.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,TOTAL,, -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , 6 
Amazonas , Puerto Arica,91536.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Puerto Arica,91536.0,Hombre,Mayores de Edad (>18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , Puerto Arica,91536.0,HOMBRE,TOTAL, -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , Puerto Arica,91536.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Puerto Arica,91536.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Puerto Arica,91536.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Puerto Arica,91536.0,TOTAL,, -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Abejorral,5002.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,Hombre,Mayores de Edad (>18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Abejorral,5002.0,HOMBRE,TOTAL, -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Abejorral,5002.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,TOTAL,, -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Amagá,5030.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
