Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Amazonas , Leticia,91001.0,Hombre,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Amazonas , Leticia,91001.0,Hombre,Mayores de Edad (>18 años),0,0,5,0,0,0,0,0,0,0,0,5
Amazonas , Leticia,91001.0,HOMBRE,TOTAL,0,0,6,0,0,0,0,0,0,0,0,6
Amazonas , Leticia,91001.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Leticia,91001.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Leticia,91001.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Leticia,91001.0,TOTAL,,0,0,6,0,0,0,0,0,0,0,0,6
Amazonas , Puerto Arica,91536.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Puerto Arica,91536.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Amazonas , Puerto Arica,91536.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Amazonas , Puerto Arica,91536.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Puerto Arica,91536.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Puerto Arica,91536.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas , Puerto Arica,91536.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Abejorral,5002.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Abejorral,5002.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Abejorral,5002.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Abejorral,5002.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Abejorral,5002.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Abejorral,5002.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Abejorral,5002.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Amagá,5030.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Amagá,5030.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
