Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),(00 a 04),(05 a 09),(10 a 13),(14 a 17),(18 a 19),(20 a 24),(25 a 28),(29 a 34),(35 a 39),(40 a 44),(45 a 49),(50 a 54),(55 a 59),(60 a 64),(65 a 69),(70 a 74),(75 a 79),(80 y más),TOTAL
Amazonas , La Chorrera,91405,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , La Chorrera,91405,HOMBRE,TOTAL, -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , La Chorrera,91405,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405,TOTAL,0, -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Amazonas , Leticia,91001,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 3 , 2 , -   , -   , 1 , -   , -   , -   , -   , 10 
