Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Campesinos (as) y/o trabajadores (as) del campo,Comunidad LGBT,Concejales,Discapacitados,Ex convictos (as),Funcionarios judiciales,Grupos étnicos,Herido y/o enfermo bajo protección sanitaria o médica,Lider,Maestro/Educador,Miembros de Organizaciones No Gubernamentales (ONG) ,Pandillas,Persona adicta a una droga natural o sintética,Persona en condición de desplazamiento,Persona habitante de la calle,Personas bajo custodia,Personas desmovilizadas o reinsertadas,Personas en situación de prostitución,Personas que ejercen actividades de periodismo,Personas que ejercen actividades políticas,Personas que ejercen actividades relacionadas con la salud en zonas de conflicto,Presunto colaborador de grupo ilegal,Recicladores,Religiosos,Otro,Ninguno,Sin información ,TOTAL
Amazonas , La Chorrera,91405.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Amazonas , La Chorrera,91405.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Amazonas , La Chorrera,91405.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , La Chorrera,91405.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Amazonas , Leticia,91001.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,Hombre,Mayores de Edad (>18 años), -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 
Amazonas , Leticia,91001.0,HOMBRE,TOTAL, -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 
Amazonas , Leticia,91001.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 2 
Amazonas , Leticia,91001.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 2 
Amazonas , Leticia,91001.0,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
