Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),00:00 a 02:59,03:00 a 05:59,06:00 a 08:59,09:00 a 11:59,12:00 a 14:59,15:00 a 17:59,18:00 a 20:59,21:00 a 23:59,Sin información,TOTAL
Amazonas , La Chorrera,91405.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , 1 , - , - , - , 1 
Amazonas , La Chorrera,91405.0,HOMBRE,TOTAL, - , - , - , - , - , 1 , - , - , - , 1 
Amazonas , La Chorrera,91405.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Amazonas , La Chorrera,91405.0,TOTAL,, - , - , - , - , - , 1 , - , - , - , 1 
Amazonas , Leticia,91001.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , Leticia,91001.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , - , - , 1 , 9 , 10 
Amazonas , Leticia,91001.0,HOMBRE,TOTAL, - , - , - , - , - , - , - , 1 , 9 , 10 
Amazonas , Leticia,91001.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , Leticia,91001.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , 1 , - , 1 , 2 
Amazonas , Leticia,91001.0,MUJER,TOTAL, - , - , - , - , - , - , 1 , - , 1 , 2 
Amazonas , Leticia,91001.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , Leticia,91001.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Amazonas , Leticia,91001.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Amazonas , Leticia,91001.0,TOTAL,, - , - , - , - , - , - , 1 , 1 , 10 , 12 
Antioquia , Abejorral,5002.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Abejorral,5002.0,Hombre,Mayores de Edad (>18 años), 1 , - , 1 , - , - , - , 1 , - , 1 , 4 
Antioquia , Abejorral,5002.0,HOMBRE,TOTAL, 1 , - , 1 , - , - , - , 1 , - , 1 , 4 
Antioquia , Abejorral,5002.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Abejorral,5002.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Abejorral,5002.0,MUJER,TOTAL, - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Abejorral,5002.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Abejorral,5002.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Abejorral,5002.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Abejorral,5002.0,TOTAL,, 1 , - , 1 , - , - , - , 2 , - , 1 , 5 
Antioquia , Amagá,5030.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Amagá,5030.0,Hombre,Mayores de Edad (>18 años), 2 , - , - , 1 , - , 2 , 1 , 1 , 10 , 17 
Antioquia , Amagá,5030.0,HOMBRE,TOTAL, 2 , - , - , 1 , - , 2 , 1 , 1 , 11 , 18 
Antioquia , Amagá,5030.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Amagá,5030.0,TOTAL,, 2 , - , - , 1 , - , 2 , 1 , 1 , 11 , 18 
Antioquia , Amalfi,5031.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
